Result: Black wins by checkmate

1: e2e4
2: c7c5
3: g1f3
4: d7d6
5: d2d4
6: c5d4
7: f3d4
8: g8f6
9: b1c3
10: b8c6
11: c1g5
12: e7e6
13: d1d2
14: f8e7
15: e1c1
16: e8g8
17: d4b3
18: a7a6
19: g5f6
20: g7f6
21: f2f4
22: g8h8
23: f4f5
24: b7b5
25: c3e2
26: f8e8
27: f5e6
28: c8e6
29: c1b1
30: d8b6
31: e2c3
32: e6b3
33: c3d5
34: b3d5
35: e4d5
36: c6e5
37: f1d3
38: b6c5
39: d2h6
40: e5d3
41: d1d3
42: e8g8
43: d3h3
44: g8g7
45: h1e1
46: a8e8
47: h6h4
48: f6f5
49: b2b4
50: c5c7
51: h4d4
52: c7c4
53: d4c4
54: b5c4
55: h3e3
56: f7f6
57: g2g3
58: f5f4
59: g3f4
60: f6f5
61: e3c3
62: e8c8
63: e1e6
64: h8g8
65: c3g3
66: g7g3
67: h2g3
68: g8f7
69: b1b2
70: e7f6
71: b2a3
72: c8g8
73: e6d6
74: g8g3
75: a3a4
76: g3c3
77: d6a6
78: h7h5
79: a6a7
80: f7g6
81: a4b5
82: c3c2
83: a2a3
84: c4c3
85: b5c4
86: c2e2
87: c4d3
88: e2d2
89: d3e3
90: f6d4
91: e3f3
92: d4a7
93: b4b5
94: c3c2
95: a3a4
96: c2c1q
97: f3g3
98: d2d3
99: g3g2
100: c1g1
