Result: Draw by threefold repetition

1: e2e4
2: c7c5
3: g1f3
4: e7e6
5: d2d4
6: c5d4
7: f3d4
8: a7a6
9: f1d3
10: g8f6
11: e1g1
12: d7d6
13: c2c4
14: f8e7
15: b1c3
16: e8g8
17: g1h1
18: d8c7
19: f2f4
20: c7b6
21: d3c2
22: e6e5
23: f4e5
24: d6e5
25: d4f5
26: c8f5
27: f1f5
28: b6c5
29: c3a4
30: c5c7
31: a4c3
32: c7c5
33: c3d5
34: f6d5
35: e4d5
36: b8d7
37: d1d3
38: g7g6
39: c1e3
40: c5b4
41: f5f1
42: b7b5
43: b2b3
44: b5c4
45: b3c4
46: d7c5
47: e3c5
48: b4c5
49: a1e1
50: e7d6
51: e1e3
52: c5a5
53: f1a1
54: a8b8
55: c2b3
56: f8e8
57: d3e2
58: b8b7
59: a1f1
60: f7f5
61: g2g4
62: f5g4
63: e3g3
64: g8h8
65: g3g4
66: a5c5
67: g4e4
68: c5a7
69: e4e3
70: e8d8
71: e3e4
72: a7b6
73: f1f3
74: a6a5
75: b3c2
76: b6b2
77: f3b3
78: b7b3
79: a2b3
80: d8f8
81: h1g2
82: b2a1
83: e2d1
84: a1d1
85: c2d1
86: h8g7
87: e4e3
88: f8e8
89: g2f3
90: d6c5
91: e3e1
92: h7h5
93: f3e4
94: c5d4
95: d1c2
96: g7f6
97: e1d1
98: h5h4
99: h2h3
100: e8g8
101: c2b1
102: g8e8
103: b1c2
104: e8g8
105: c2b1
106: g8e8
