Result: Draw by threefold repetition

1: e2e4
2: c7c5
3: g1f3
4: b8c6
5: d2d4
6: c5d4
7: f3d4
8: g8f6
9: b1c3
10: d7d6
11: c1g5
12: e7e6
13: d1d2
14: f8e7
15: e1c1
16: e8g8
17: f2f4
18: c6d4
19: d2d4
20: d8a5
21: f1c4
22: c8d7
23: e4e5
24: d6e5
25: f4e5
26: d7c6
27: g5d2
28: f6d7
29: c3d5
30: a5d8
31: d5e7
32: d8e7
33: h1g1
34: d7b6
35: c4d3
36: f8d8
37: d4f4
38: e7c7
39: d2a5
40: d8d5
41: a5c3
42: b6a4
43: c3d4
44: c7a5
45: d3c4
46: d5d8
47: c1b1
48: a5b4
49: c4b3
50: a4c5
51: c2c3
52: b4a5
53: b3c2
54: c6d5
55: a2a3
56: c5b3
57: f4h4
58: b3d4
59: h4h7
60: g8f8
61: d1d4
62: a5c7
63: h7h5
64: d5c4
65: g1d1
66: d8d4
67: d1d4
68: a8c8
69: h5h4
70: b7b5
71: a3a4
72: f8g8
73: h4e4
74: g7g6
75: a4b5
76: c7c5
77: c2d3
78: c4d3
79: d4d3
80: c5b5
81: e4e2
82: a7a6
83: d3e3
84: b5b6
85: b1c1
86: g8g7
87: e3d3
88: b6b5
89: d3d2
90: c8h8
91: c3c4
92: b5a4
93: g2g4
94: h8c8
95: d2d4
96: g7h6
97: e2e3
98: h6g7
99: b2b3
100: a4a2
101: h2h4
102: c8h8
103: g4g5
104: h8b8
105: d4d3
106: g7f8
107: d3c3
108: a2a5
109: c1c2
110: a5a2
111: c2c1
112: a2a5
113: c1c2
114: a5a2
