Result: Draw by threefold repetition

1: d2d4
2: d7d5
3: c2c4
4: e7e6
5: g1f3
6: g8f6
7: b1c3
8: f8e7
9: c1g5
10: h7h6
11: g5h4
12: e8g8
13: e2e3
14: b7b6
15: f1e2
16: c8b7
17: h4f6
18: e7f6
19: c4d5
20: e6d5
21: b2b4
22: c7c6
23: e1g1
24: a7a5
25: b4b5
26: c6c5
27: f3e5
28: d8d6
29: f2f4
30: b8d7
31: d1c2
32: f6e5
33: f4e5
34: d7e5
35: d4e5
36: d6e5
37: f1f3
38: f7f5
39: a1f1
40: g7g6
41: f3g3
42: g8h7
43: c2b3
44: a8e8
45: e2d3
46: d5d4
47: e3d4
48: e5d4
49: g1h1
50: e8e7
51: f1d1
52: f8e8
53: d3e2
54: d4f2
55: d1f1
56: f2d4
57: f1d1
58: d4f2
59: d1f1
60: f2d4
