Result: Draw by threefold repetition

1: d2d4
2: d7d5
3: c2c4
4: c7c6
5: b1c3
6: g8f6
7: e2e3
8: e7e6
9: g1f3
10: b8d7
11: f1d3
12: d5c4
13: d3c4
14: b7b5
15: c4d3
16: c8b7
17: a2a3
18: a7a6
19: b2b4
20: a6a5
21: a1b1
22: a5b4
23: a3b4
24: f8d6
25: e1g1
26: d8e7
27: d1b3
28: f6d5
29: c1a3
30: e8g8
31: f1c1
32: f7f5
33: c1c2
34: g8h8
35: c2a2
36: d7b6
37: f3e5
38: e7c7
39: e5f3
40: d5c3
41: b3c3
42: b6d5
43: c3d2
44: c7e7
45: b1b3
46: a8a4
47: e3e4
48: f5e4
49: d3e4
50: d5b4
51: a2b2
52: b4d5
53: a3d6
54: e7d6
55: e4c2
56: d6e7
57: b2b1
58: a4a2
59: f3e5
60: g7g6
61: b3g3
62: e7f6
63: g3f3
64: f6g7
65: f3h3
66: d5f4
67: h3c3
68: g7h6
69: g1h1
70: h6h5
71: g2g4
72: h5h4
73: e5d7
74: f8f7
75: d7e5
76: f7f8
77: e5d7
78: f8f7
79: d7e5
