Result: Black wins by checkmate

1: e2e4
2: c7c5
3: g1f3
4: e7e6
5: d2d4
6: c5d4
7: f3d4
8: g8f6
9: b1c3
10: d7d6
11: c1e3
12: f8e7
13: g2g4
14: h7h5
15: g4h5
16: h8h5
17: h2h4
18: e6e5
19: c3d5
20: e5d4
21: e3d4
22: h5h8
23: h4h5
24: b8c6
25: h5h6
26: h8h6
27: h1h6
28: g7h6
29: d1d3
30: c6e5
31: d3b5
32: e5c6
33: d5f6
34: e7f6
35: e1c1
36: f6d4
37: d1d4
38: a7a6
39: b5d3
40: d8g5
41: c1b1
42: c6d4
43: d3d4
44: g5g1
45: d4d1
46: g1f2
47: f1c4
48: f2e3
49: d1f1
50: c8e6
51: c4d5
52: a8b8
53: f1c1
54: e3g5
55: c1g5
56: h6g5
57: d5e6
58: f7e6
59: b1c1
60: e8f7
61: c1d2
62: b8h8
63: d2e3
64: h8h2
65: e3d3
66: g5g4
67: a2a4
68: g4g3
69: d3e3
70: h2c2
71: e3d3
72: c2b2
73: d3c3
74: b2h2
75: e4e5
76: g3g2
77: e5d6
78: g2g1q
79: c3c4
80: g1e3
81: c4b4
82: h2h4
83: b4a5
84: e3c5
