Result: Draw by threefold repetition

1: e2e4
2: c7c5
3: g1f3
4: d7d6
5: d2d4
6: c5d4
7: f3d4
8: g8f6
9: b1c3
10: a7a6
11: c1e3
12: e7e5
13: d4f3
14: f8e7
15: f1c4
16: e8g8
17: e1g1
18: b8c6
19: f1e1
20: c8e6
21: c4b3
22: f6g4
23: d1e2
24: d8d7
25: b3e6
26: f7e6
27: f3g5
28: g4e3
29: g5h7
30: f8f7
31: e2h5
32: e3c2
33: h7g5
34: e7g5
35: h5g5
36: c2e1
37: a1e1
38: a8f8
39: e1f1
40: c6d4
41: g5g6
42: f7f6
43: g6g5
44: g8h7
45: g5h4
46: h7g8
47: f2f3
48: f6h6
49: h4g3
50: d7e7
51: g1f2
52: h6h4
53: f1d1
54: g7g5
55: a2a3
56: g8f7
57: c3e2
58: d4e2
59: f2e2
60: f8c8
61: h2h3
62: c8c2
63: e2f1
64: e7d8
65: g3e5
66: d8b6
67: e5d4
68: b6b5
69: d4d3
70: b5b2
71: d3d4
72: c2g2
73: d4b2
74: g2b2
75: d1d6
76: h4h3
77: f1g1
78: h3g3
79: g1h1
80: g3f3
81: d6d1
82: f3a3
83: d1f1
84: f7e7
85: f1c1
86: a3e3
87: h1g1
88: e3e4
89: g1h1
90: e4d4
91: c1c7
92: e7d6
93: c7c1
94: e6e5
95: h1g1
96: d6e6
97: c1f1
98: d4g4
99: g1h1
100: g4h4
101: h1g1
102: h4g4
103: g1h1
104: g4h4
105: h1g1
