Result: White wins by checkmate

1: d2d4
2: d7d5
3: c2c4
4: c7c6
5: g1f3
6: g8f6
7: b1c3
8: d5c4
9: a2a4
10: c8f5
11: f3h4
12: f5d7
13: g2g3
14: e7e6
15: h4f3
16: d8a5
17: e2e3
18: f6e4
19: c1d2
20: e4c3
21: a1b1
22: c3d1
23: d2a5
24: c6c5
25: f1e2
26: d1e3
27: f2e3
28: b8c6
29: a5c3
30: c5d4
31: e3d4
32: c6b4
33: e1g1
34: b4d5
35: f3e5
36: f7f5
37: e5d7
38: e8d7
39: e2c4
40: d5e3
41: c4b5
42: d7c7
43: f1f3
44: e3d5
45: c3a5
46: b7b6
47: b1c1
48: c7b8
49: a5d2
50: f8b4
51: d2b4
52: d5b4
53: c1c4
54: b4d5
55: b5d7
56: g7g6
57: c4c1
58: h8d8
59: d7e6
60: d5c7
61: e6b3
62: d8d4
63: f3c3
64: d4d7
65: a4a5
66: d7e7
67: c3c4
68: b8c8
69: a5a6
70: c8b8
71: c4d4
72: c7e6
73: b3e6
74: e7e8
75: d4d7
76: e8e6
77: d7d8
