Result: Draw by threefold repetition

1: d2d4
2: g8f6
3: c2c4
4: e7e6
5: b1c3
6: f8b4
7: e2e3
8: c7c5
9: g1e2
10: c5d4
11: e3d4
12: d7d5
13: a2a3
14: b4e7
15: c4c5
16: e8g8
17: b2b4
18: a7a5
19: b4b5
20: e6e5
21: d4e5
22: e7c5
23: e5f6
24: d8f6
25: c1e3
26: c5e3
27: f2e3
28: f6e5
29: d1d4
30: f8e8
31: a3a4
32: c8f5
33: c3d5
34: b8d7
35: a1c1
36: a8c8
37: c1c8
38: e8c8
39: d4e5
40: d7e5
41: d5e7
42: g8h8
43: e7f5
44: e5d3
45: e1d2
46: d3f2
47: h1g1
48: c8d8
49: e2d4
50: f2e4
51: d2d3
52: e4c5
53: d3c4
54: c5a4
55: f1d3
56: d8c8
57: c4b3
58: a4c5
59: b3c4
60: c5a4
61: c4b3
62: a4c5
63: b3a2
64: c5a4
