file,label,game_idx,swapped,result,total_moves,last_book_ply,book_time_white,book_time_black,opening_phase_time_white,opening_phase_time_black,opening_phase_plies
metrics_mcts_trad_book_on_g16_orig.jsonl,mcts_trad_book_on,16,False,1/2-1/2,47,30,0.003,0.002,0.002,0.001,20
metrics_mcts_trad_book_on_g17_orig.jsonl,mcts_trad_book_on,17,False,1/2-1/2,92,26,0.002,0.001,0.002,0.001,20
metrics_mcts_trad_book_on_g18_orig.jsonl,mcts_trad_book_on,18,False,1/2-1/2,137,25,0.002,0.001,0.002,0.001,20
metrics_mcts_trad_book_on_g19_orig.jsonl,mcts_trad_book_on,19,False,1/2-1/2,109,30,0.003,0.001,0.002,0.001,20
metrics_mcts_trad_book_on_g1_orig.jsonl,mcts_trad_book_on,1,False,1/2-1/2,157,23,0.005,0.004,0.004,0.004,20
metrics_mcts_trad_book_on_g20_orig.jsonl,mcts_trad_book_on,20,False,1/2-1/2,64,30,0.002,0.002,0.001,0.001,20
metrics_mcts_trad_book_on_g21_swap.jsonl,mcts_trad_book_on,21,True,1-0,105,28,0.002,0.001,0.002,0.001,20
metrics_mcts_trad_book_on_g22_swap.jsonl,mcts_trad_book_on,22,True,1/2-1/2,128,30,0.003,0.002,0.002,0.001,20
metrics_mcts_trad_book_on_g23_swap.jsonl,mcts_trad_book_on,23,True,1/2-1/2,127,26,0.001,0.001,0.001,0.001,20
metrics_mcts_trad_book_on_g24_swap.jsonl,mcts_trad_book_on,24,True,1-0,125,23,0.003,0.001,0.003,0.001,20
metrics_mcts_trad_book_on_g25_swap.jsonl,mcts_trad_book_on,25,True,1/2-1/2,55,30,0.002,0.002,0.001,0.001,20
metrics_mcts_trad_book_on_g26_swap.jsonl,mcts_trad_book_on,26,True,1/2-1/2,91,29,0.003,0.001,0.002,0.001,20
metrics_mcts_trad_book_on_g27_swap.jsonl,mcts_trad_book_on,27,True,1/2-1/2,81,30,0.004,0.002,0.003,0.001,20
metrics_mcts_trad_book_on_g28_swap.jsonl,mcts_trad_book_on,28,True,1/2-1/2,67,30,0.002,0.002,0.001,0.001,20
metrics_mcts_trad_book_on_g29_swap.jsonl,mcts_trad_book_on,29,True,1/2-1/2,67,24,0.001,0.001,0.001,0.001,20
metrics_mcts_trad_book_on_g2_orig.jsonl,mcts_trad_book_on,2,False,1/2-1/2,111,30,0.002,0.002,0.001,0.001,20
metrics_mcts_trad_book_on_g30_swap.jsonl,mcts_trad_book_on,30,True,1-0,123,30,0.004,0.002,0.003,0.001,20
metrics_mcts_trad_book_on_g31_swap.jsonl,mcts_trad_book_on,31,True,1-0,99,27,0.002,0.001,0.001,0.001,20
metrics_mcts_trad_book_on_g32_swap.jsonl,mcts_trad_book_on,32,True,1/2-1/2,79,27,0.002,0.001,0.001,0.001,20
metrics_mcts_trad_book_on_g33_swap.jsonl,mcts_trad_book_on,33,True,1/2-1/2,106,19,0.001,0.001,0.001,20.215,20
metrics_mcts_trad_book_on_g34_swap.jsonl,mcts_trad_book_on,34,True,1-0,65,25,0.002,0.001,0.001,0.001,20
metrics_mcts_trad_book_on_g35_swap.jsonl,mcts_trad_book_on,35,True,1/2-1/2,52,30,0.002,0.002,0.002,0.001,20
metrics_mcts_trad_book_on_g36_swap.jsonl,mcts_trad_book_on,36,True,1/2-1/2,139,30,0.002,0.001,0.001,0.001,20
metrics_mcts_trad_book_on_g37_swap.jsonl,mcts_trad_book_on,37,True,1/2-1/2,113,24,0.001,0.001,0.001,0.001,20
metrics_mcts_trad_book_on_g38_swap.jsonl,mcts_trad_book_on,38,True,1/2-1/2,55,30,0.002,0.002,0.001,0.001,20
metrics_mcts_trad_book_on_g39_swap.jsonl,mcts_trad_book_on,39,True,0-1,106,19,0.001,0.001,0.001,41.101,20
metrics_mcts_trad_book_on_g3_orig.jsonl,mcts_trad_book_on,3,False,1/2-1/2,114,30,0.003,0.002,0.001,0.001,20
metrics_mcts_trad_book_on_g40_swap.jsonl,mcts_trad_book_on,40,True,1/2-1/2,168,30,0.002,0.002,0.002,0.001,20
metrics_mcts_trad_book_on_g4_orig.jsonl,mcts_trad_book_on,4,False,1-0,129,19,0.002,0.001,0.002,20.129,20
metrics_mcts_trad_book_on_g5_orig.jsonl,mcts_trad_book_on,5,False,1/2-1/2,159,30,0.002,0.002,0.002,0.001,20
metrics_mcts_trad_book_on_g6_orig.jsonl,mcts_trad_book_on,6,False,1/2-1/2,74,30,0.002,0.002,0.002,0.001,20
metrics_mcts_trad_book_on_g7_orig.jsonl,mcts_trad_book_on,7,False,1/2-1/2,60,30,0.002,0.002,0.002,0.001,20
metrics_mcts_trad_book_on_g8_orig.jsonl,mcts_trad_book_on,8,False,1/2-1/2,34,16,0.002,0.001,40.151,40.282,20
metrics_mcts_trad_book_on_g9_orig.jsonl,mcts_trad_book_on,9,False,1/2-1/2,145,30,0.002,0.002,0.002,0.001,20
metrics_minimax_trad_d4_book_off_g10_orig.jsonl,minimax_trad_d4_book_off,10,False,0-1,120,0,0.0,0.0,6.897,5.636,20
