Result: Draw by threefold repetition

1: e2e4
2: c7c5
3: g1f3
4: e7e6
5: d2d4
6: c5d4
7: f3d4
8: a7a6
9: f1d3
10: f8c5
11: d4b3
12: c5e7
13: e1g1
14: d7d6
15: d1g4
16: g7g6
17: g4e2
18: b8d7
19: b1c3
20: d8c7
21: c1d2
22: b7b6
23: f2f4
24: c8b7
25: f4f5
26: e7f6
27: f5e6
28: f7e6
29: e2g4
30: d7c5
31: f1f3
32: f6c3
33: b2c3
34: g8e7
35: g4h4
36: e7f5
37: e4f5
38: b7f3
39: f5e6
40: f3h5
41: g2g4
42: c7e7
43: d2g5
44: e7c7
45: g5f6
46: h8g8
47: b3c5
48: c7c5
49: f6d4
50: c5d5
51: a1b1
52: d5a2
53: b1e1
54: a2a5
55: g1g2
56: a8d8
57: h4f2
58: g8f8
59: f2f8
60: e8f8
61: e6e7
62: f8e8
63: e7d8q
64: e8d8
65: g4h5
66: a5g5
67: g2h1
68: d8c7
69: d3a6
70: g5h5
71: e1e7
72: c7d8
73: e7a7
74: h5d1
75: h1g2
76: d1g4
77: g2f2
78: g4f4
79: f2g1
80: f4g5
81: g1f2
82: g5h4
83: f2g1
84: h4g5
85: g1f2
86: g5h4
87: f2g2
88: h4g5
