Result: Draw by threefold repetition

1: e2e4
2: e7e5
3: g1f3
4: b8c6
5: f1b5
6: a7a6
7: b5a4
8: g8f6
9: e1g1
10: f8e7
11: f1e1
12: b7b5
13: a4b3
14: e8g8
15: h2h3
16: c8b7
17: d2d3
18: d7d6
19: a2a3
20: d8d7
21: b1d2
22: c6d8
23: d2f1
24: d8e6
25: f1g3
26: g7g6
27: c1h6
28: f8e8
29: d3d4
30: e7f8
31: h6f8
32: e6f8
33: d1d3
34: c7c5
35: d4c5
36: d6c5
37: a1d1
38: d7d3
39: c2d3
40: a8d8
41: g1h2
42: d8d6
43: f3g5
44: e8e7
45: e1e3
46: a6a5
47: a3a4
48: b5a4
49: b3a2
50: d6b6
51: e3e2
52: b6d6
53: e2c2
54: f8d7
55: a2c4
56: h7h6
57: g5f7
58: e7f7
59: c4f7
60: g8f7
61: c2c4
62: b7c8
63: c4a4
64: c8a6
65: d1e1
66: d6d4
67: a4a5
68: a6d3
69: f2f3
70: f7e6
71: e1a1
72: f6e8
73: a5a8
74: e8f6
75: a8h8
76: h6h5
77: h8h6
78: e6f7
79: a1a8
80: f7g7
81: h6h8
82: d4b4
83: b2b3
84: d7b6
85: h8d8
86: b6a8
87: d8d3
88: h5h4
89: g3e2
90: c5c4
91: b3c4
92: a8b6
93: c4c5
94: b4b2
95: c5b6
96: g7f7
97: b6b7
98: f7e6
99: d3a3
100: b2b7
101: a3a6
102: e6f7
103: e2c3
104: b7d7
105: a6a5
106: f7e6
107: a5a6
108: e6f7
109: a6a5
110: f7e6
111: g2g4
112: d7d3
113: a5a6
114: e6f7
115: a6a7
116: f7e6
117: a7a6
118: e6f7
119: a6a7
120: f7e6
