Result: Draw by threefold repetition

1: d2d4
2: g8f6
3: c2c4
4: g7g6
5: b1c3
6: f8g7
7: e2e4
8: d7d6
9: f2f3
10: e8g8
11: c1e3
12: b8c6
13: g1e2
14: a7a6
15: d1d2
16: a8b8
17: a1c1
18: c8d7
19: c3d1
20: f8e8
21: g2g3
22: e7e6
23: d1f2
24: d8e7
25: e3h6
26: g7h6
27: d2h6
28: d6d5
29: e4e5
30: e7b4
31: h6d2
32: b4d2
33: e1d2
34: f6h5
35: g3g4
36: h5g7
37: f2d3
38: b7b5
39: c4d5
40: e6d5
41: d3c5
42: d7c8
43: c5a6
44: c6e5
45: a6b8
46: e5f3
47: d2d3
48: c8g4
49: b8a6
50: g4f5
51: d3c3
52: e8e3
53: c3b4
54: f3d2
55: e2g3
56: c7c6
57: c1c6
58: d2f3
59: c6c3
60: f3d4
61: c3e3
62: d4c2
63: b4b3
64: c2e3
65: f1b5
66: f5c2
67: b3b4
68: g7e6
69: a6c5
70: d5d4
71: h1c1
72: e3d5
73: b4c4
74: d5e3
75: c4b4
76: e3d5
77: b4c4
78: d5e3
