Result: Draw by threefold repetition

1: d2d4
2: d7d5
3: c2c4
4: e7e6
5: b1c3
6: f8e7
7: g1f3
8: g8f6
9: c1g5
10: e8g8
11: e2e3
12: h7h6
13: g5f6
14: e7f6
15: a1c1
16: c7c6
17: f1d3
18: b8d7
19: e1g1
20: d5c4
21: d3c4
22: e6e5
23: h2h3
24: e5d4
25: e3d4
26: d7b6
27: c4b3
28: c8f5
29: f1e1
30: a7a5
31: g2g4
32: f5h7
33: g1g2
34: h6h5
35: g4h5
36: h7f5
37: f3e5
38: a5a4
39: b3c2
40: f5c2
41: c1c2
42: f6e5
43: e1e5
44: b6d7
45: e5e3
46: f8e8
47: e3e8
48: d8e8
49: h5h6
50: g7h6
51: d1g4
52: g8h8
53: c2e2
54: e8d8
55: g4f3
56: d8g5
57: f3g3
58: a4a3
59: b2a3
60: g5c1
61: g3e3
62: c1e3
63: e2e3
64: h8g7
65: g2f3
66: d7b6
67: c3e4
68: b6c4
69: e3c3
70: b7b5
71: f3f4
72: h6h5
73: c3d3
74: g7g6
75: d3g3
76: g6h6
77: g3d3
78: h6g6
79: d3g3
80: g6h6
81: g3d3
