label,games,white_wins,draws,black_wins,white_score,avg_moves,avg_time_white,avg_time_black
mcts_trad_book_off,40.0,10.0,30.0,0.0,0.625,150.5,19.961,19.966
mcts_trad_book_on,40.0,6.0,33.0,1.0,0.562,98.6,13.598,13.611
minimax_trad_d4_book_off,40.0,0.0,0.0,40.0,0.0,120.0,0.494,0.638
minimax_trad_d4_book_on,40.0,10.0,20.0,10.0,0.5,104.7,0.583,0.573
