file,label,result,total_moves,termination,total_time_white,total_time_black,avg_time_white,avg_time_black
metrics_mcts_trad_book_off_g10_orig.jsonl,mcts_trad_book_off,1/2-1/2,180,draw_insufficient,1808.8672,1812.1884,20.0985,20.1354
metrics_mcts_trad_book_off_g11_orig.jsonl,mcts_trad_book_off,1-0,165,checkmate,1616.7474,1598.6649,19.4789,19.4959
metrics_mcts_trad_book_off_g12_orig.jsonl,mcts_trad_book_off,1/2-1/2,180,draw_insufficient,1812.4305,1811.8689,20.1381,20.1319
metrics_mcts_trad_book_off_g13_orig.jsonl,mcts_trad_book_off,1/2-1/2,172,draw_insufficient,1730.8925,1731.1125,20.1267,20.1292
metrics_mcts_trad_book_off_g14_orig.jsonl,mcts_trad_book_off,1/2-1/2,130,draw_3fold_claim,1308.934,1309.5383,20.1374,20.1467
metrics_mcts_trad_book_off_g15_orig.jsonl,mcts_trad_book_off,1/2-1/2,144,draw_insufficient,1445.7522,1447.392,20.0799,20.1027
metrics_mcts_trad_book_off_g16_orig.jsonl,mcts_trad_book_off,1/2-1/2,144,draw_insufficient,1448.3917,1448.3955,20.1166,20.1166
metrics_mcts_trad_book_off_g17_orig.jsonl,mcts_trad_book_off,1/2-1/2,148,draw_insufficient,1492.7726,1489.7079,20.1726,20.1312
metrics_mcts_trad_book_off_g18_orig.jsonl,mcts_trad_book_off,1-0,163,checkmate,1595.8114,1597.4771,19.4611,19.7219
metrics_mcts_trad_book_off_g19_orig.jsonl,mcts_trad_book_off,1/2-1/2,150,draw_3fold_claim,1509.1874,1508.2115,20.1225,20.1095
metrics_mcts_trad_book_off_g1_orig.jsonl,mcts_trad_book_off,1/2-1/2,110,stalemate,1106.1894,1105.9082,20.1125,20.1074
metrics_mcts_trad_book_off_g20_orig.jsonl,mcts_trad_book_off,1/2-1/2,104,draw_3fold_claim,1053.9476,1051.6809,20.2682,20.2246
metrics_mcts_trad_book_off_g21_swap.jsonl,mcts_trad_book_off,1/2-1/2,104,draw_3fold_claim,1046.6949,1045.4572,20.1287,20.1049
metrics_mcts_trad_book_off_g22_swap.jsonl,mcts_trad_book_off,1-0,165,checkmate,1611.0885,1593.6226,19.4107,19.4344
metrics_mcts_trad_book_off_g23_swap.jsonl,mcts_trad_book_off,1/2-1/2,146,draw_3fold_claim,1472.9612,1466.316,20.1776,20.0865
metrics_mcts_trad_book_off_g24_swap.jsonl,mcts_trad_book_off,1/2-1/2,148,draw_insufficient,1489.0438,1488.2674,20.1222,20.1117
metrics_mcts_trad_book_off_g25_swap.jsonl,mcts_trad_book_off,1/2-1/2,104,draw_3fold_claim,1045.5522,1045.5681,20.1068,20.1071
metrics_mcts_trad_book_off_g26_swap.jsonl,mcts_trad_book_off,1/2-1/2,152,draw_3fold_claim,1526.8155,1529.8636,20.0897,20.1298
metrics_mcts_trad_book_off_g27_swap.jsonl,mcts_trad_book_off,1-0,165,checkmate,1617.7179,1595.4731,19.4906,19.457
metrics_mcts_trad_book_off_g28_swap.jsonl,mcts_trad_book_off,1-0,189,checkmate,1864.9947,1859.9892,19.6315,19.7871
metrics_mcts_trad_book_off_g29_swap.jsonl,mcts_trad_book_off,1/2-1/2,127,draw_insufficient,1286.5617,1266.71,20.1025,20.1065
metrics_mcts_trad_book_off_g2_orig.jsonl,mcts_trad_book_off,1-0,165,checkmate,1611.0661,1592.7076,19.4104,19.4233
metrics_mcts_trad_book_off_g30_swap.jsonl,mcts_trad_book_off,1/2-1/2,144,draw_insufficient,1447.8462,1447.1887,20.109,20.0998
metrics_mcts_trad_book_off_g31_swap.jsonl,mcts_trad_book_off,1/2-1/2,104,draw_3fold_claim,1045.6639,1044.4221,20.1089,20.085
metrics_mcts_trad_book_off_g32_swap.jsonl,mcts_trad_book_off,1/2-1/2,176,draw_3fold_claim,1768.5352,1769.4783,20.097,20.1077
metrics_mcts_trad_book_off_g33_swap.jsonl,mcts_trad_book_off,1/2-1/2,180,draw_insufficient,1814.8416,1813.6288,20.1649,20.1514
metrics_mcts_trad_book_off_g34_swap.jsonl,mcts_trad_book_off,1/2-1/2,104,draw_3fold_claim,1044.0399,1049.8303,20.0777,20.189
metrics_mcts_trad_book_off_g35_swap.jsonl,mcts_trad_book_off,1/2-1/2,180,draw_insufficient,1813.5812,1811.0988,20.1509,20.1233
metrics_mcts_trad_book_off_g36_swap.jsonl,mcts_trad_book_off,1-0,165,checkmate,1613.4199,1593.6508,19.4388,19.4348
metrics_mcts_trad_book_off_g37_swap.jsonl,mcts_trad_book_off,1-0,165,checkmate,1611.7073,1592.8759,19.4182,19.4253
metrics_mcts_trad_book_off_g38_swap.jsonl,mcts_trad_book_off,1-0,165,checkmate,1612.9082,1595.8798,19.4326,19.4619
metrics_mcts_trad_book_off_g39_swap.jsonl,mcts_trad_book_off,1/2-1/2,174,draw_3fold_claim,1749.4926,1750.3519,20.1091,20.119
metrics_mcts_trad_book_off_g3_orig.jsonl,mcts_trad_book_off,1/2-1/2,136,draw_3fold_claim,1370.4696,1366.45,20.154,20.0949
metrics_mcts_trad_book_off_g40_swap.jsonl,mcts_trad_book_off,1/2-1/2,142,draw_insufficient,1428.0443,1428.6384,20.1133,20.1217
metrics_mcts_trad_book_off_g4_orig.jsonl,mcts_trad_book_off,1/2-1/2,145,draw_insufficient,1466.8326,1445.9487,20.0936,20.0826
metrics_mcts_trad_book_off_g5_orig.jsonl,mcts_trad_book_off,1/2-1/2,176,draw_3fold_claim,1771.8995,1766.5193,20.1352,20.0741
metrics_mcts_trad_book_off_g6_orig.jsonl,mcts_trad_book_off,1-0,165,checkmate,1612.5614,1591.8592,19.4285,19.4129
metrics_mcts_trad_book_off_g7_orig.jsonl,mcts_trad_book_off,1/2-1/2,148,draw_insufficient,1488.7425,1490.3007,20.1181,20.1392
metrics_mcts_trad_book_off_g8_orig.jsonl,mcts_trad_book_off,1/2-1/2,148,draw_insufficient,1491.7526,1490.2393,20.1588,20.1384
metrics_mcts_trad_book_off_g9_orig.jsonl,mcts_trad_book_off,1/2-1/2,148,draw_insufficient,1490.1176,1486.5349,20.1367,20.0883
metrics_mcts_trad_book_on_g10_orig.jsonl,mcts_trad_book_on,1/2-1/2,93,draw_3fold_claim,745.0432,704.7945,15.852,15.3216
metrics_mcts_trad_book_on_g11_orig.jsonl,mcts_trad_book_on,1/2-1/2,84,draw_3fold_claim,567.3215,586.8586,13.5077,13.9728
metrics_mcts_trad_book_on_g12_orig.jsonl,mcts_trad_book_on,1/2-1/2,144,draw_insufficient,1206.0966,1204.9441,16.7513,16.7353
metrics_mcts_trad_book_on_g13_orig.jsonl,mcts_trad_book_on,1/2-1/2,139,draw_3fold_claim,1105.5392,1085.5484,15.7934,15.7326
metrics_mcts_trad_book_on_g14_orig.jsonl,mcts_trad_book_on,1/2-1/2,60,draw_3fold_claim,302.0243,341.8772,10.0675,11.3959
metrics_mcts_trad_book_on_g15_orig.jsonl,mcts_trad_book_on,1/2-1/2,42,draw_3fold_claim,200.9096,201.0509,9.5671,9.5739
metrics_mcts_trad_book_on_g16_orig.jsonl,mcts_trad_book_on,1/2-1/2,47,draw_3fold_claim,180.843,161.4434,7.5351,7.0193
metrics_mcts_trad_book_on_g17_orig.jsonl,mcts_trad_book_on,1/2-1/2,92,draw_3fold_claim,721.1856,661.9943,15.6779,14.3912
metrics_mcts_trad_book_on_g18_orig.jsonl,mcts_trad_book_on,1/2-1/2,137,draw_3fold_claim,1125.2031,1145.4409,16.3073,16.8447
metrics_mcts_trad_book_on_g19_orig.jsonl,mcts_trad_book_on,1/2-1/2,109,draw_3fold_claim,807.7673,784.912,14.6867,14.5354
metrics_mcts_trad_book_on_g1_orig.jsonl,mcts_trad_book_on,1/2-1/2,157,draw_insufficient,1352.1433,1348.5911,17.1157,17.2896
metrics_mcts_trad_book_on_g20_orig.jsonl,mcts_trad_book_on,1/2-1/2,64,draw_3fold_claim,341.445,341.5211,10.6702,10.6725
metrics_mcts_trad_book_on_g21_swap.jsonl,mcts_trad_book_on,1-0,105,checkmate,762.7703,724.1906,14.3919,13.9267
metrics_mcts_trad_book_on_g22_swap.jsonl,mcts_trad_book_on,1/2-1/2,128,draw_3fold_claim,991.3136,989.7096,15.4893,15.4642
metrics_mcts_trad_book_on_g23_swap.jsonl,mcts_trad_book_on,1/2-1/2,127,draw_3fold_claim,1023.4959,1004.1915,15.9921,15.9395
metrics_mcts_trad_book_on_g24_swap.jsonl,mcts_trad_book_on,1-0,125,checkmate,948.0179,970.8795,15.0479,15.6593
metrics_mcts_trad_book_on_g25_swap.jsonl,mcts_trad_book_on,1/2-1/2,55,draw_3fold_claim,261.6445,243.0917,9.3444,9.0034
metrics_mcts_trad_book_on_g26_swap.jsonl,mcts_trad_book_on,1/2-1/2,91,draw_3fold_claim,623.2488,621.6715,13.5489,13.8149
metrics_mcts_trad_book_on_g27_swap.jsonl,mcts_trad_book_on,1/2-1/2,81,draw_3fold_claim,522.2644,503.9471,12.7382,12.5987
metrics_mcts_trad_book_on_g28_swap.jsonl,mcts_trad_book_on,1/2-1/2,67,draw_3fold_claim,383.4092,363.7229,11.2767,11.0219
metrics_mcts_trad_book_on_g29_swap.jsonl,mcts_trad_book_on,1/2-1/2,67,draw_3fold_claim,461.8992,423.4463,13.5853,12.8317
metrics_mcts_trad_book_on_g2_orig.jsonl,mcts_trad_book_on,1/2-1/2,111,draw_3fold_claim,823.6671,803.8234,14.7083,14.615
metrics_mcts_trad_book_on_g30_swap.jsonl,mcts_trad_book_on,1-0,123,checkmate,891.8714,873.2517,14.385,14.3156
metrics_mcts_trad_book_on_g31_swap.jsonl,mcts_trad_book_on,1-0,99,checkmate,684.9753,685.0997,13.6995,13.9816
metrics_mcts_trad_book_on_g32_swap.jsonl,mcts_trad_book_on,1/2-1/2,79,draw_3fold_claim,525.8541,524.4966,13.1464,13.4486
metrics_mcts_trad_book_on_g33_swap.jsonl,mcts_trad_book_on,1/2-1/2,106,draw_3fold_claim,864.1399,885.5393,16.3045,16.7083
metrics_mcts_trad_book_on_g34_swap.jsonl,mcts_trad_book_on,1-0,65,checkmate,301.6288,301.9354,9.1403,9.4355
metrics_mcts_trad_book_on_g35_swap.jsonl,mcts_trad_book_on,1/2-1/2,52,draw_3fold_claim,222.0758,221.3634,8.5414,8.514
metrics_mcts_trad_book_on_g36_swap.jsonl,mcts_trad_book_on,1/2-1/2,139,draw_insufficient,1104.6012,1083.3318,15.78,15.7005
metrics_mcts_trad_book_on_g37_swap.jsonl,mcts_trad_book_on,1/2-1/2,113,draw_3fold_claim,903.7513,893.1314,15.8553,15.9488
metrics_mcts_trad_book_on_g38_swap.jsonl,mcts_trad_book_on,1/2-1/2,55,draw_3fold_claim,262.1642,242.0248,9.363,8.9639
metrics_mcts_trad_book_on_g39_swap.jsonl,mcts_trad_book_on,0-1,106,checkmate,812.4627,855.2771,15.3295,16.1373
metrics_mcts_trad_book_on_g3_orig.jsonl,mcts_trad_book_on,1/2-1/2,114,draw_3fold_claim,846.6401,845.448,14.8533,14.8324
metrics_mcts_trad_book_on_g40_swap.jsonl,mcts_trad_book_on,1/2-1/2,168,draw_3fold_claim,1389.7196,1385.7417,16.5443,16.4969
metrics_mcts_trad_book_on_g4_orig.jsonl,mcts_trad_book_on,1-0,129,checkmate,1063.2,1064.3558,16.3569,16.6306
metrics_mcts_trad_book_on_g5_orig.jsonl,mcts_trad_book_on,1/2-1/2,159,draw_insufficient,1304.4749,1284.5317,16.3059,16.2599
metrics_mcts_trad_book_on_g6_orig.jsonl,mcts_trad_book_on,1/2-1/2,74,draw_3fold_claim,443.7236,444.391,11.9925,12.0106
