Result: Draw by threefold repetition

1: e2e4
2: c7c5
3: g1f3
4: d7d6
5: d2d4
6: c5d4
7: f3d4
8: g8f6
9: b1c3
10: a7a6
11: c1e3
12: f6g4
13: e3g5
14: h7h6
15: g5h4
16: g7g5
17: h4g3
18: f8g7
19: h2h3
20: g4e5
21: f2f3
22: b8c6
23: g3f2
24: c8e6
25: d1d2
26: d8a5
27: d4e6
28: f7e6
29: f3f4
30: g5f4
31: f1e2
32: f4f3
33: e2f1
34: e5c4
35: f1c4
36: g7c3
37: b2c3
38: a5a4
39: c4f1
40: a4e4
41: d2e3
42: e4f5
43: e3f3
44: f5e5
45: e1d2
46: h8f8
47: f3g3
48: e5g3
49: f2g3
50: e8d7
51: a1b1
52: b7b5
53: f1e2
54: f8g8
55: g3f4
56: g8g2
57: h1g1
58: a8g8
59: g1g2
60: g8g2
61: f4h6
62: e6e5
63: d2d3
64: d6d5
65: e2g4
66: d7d6
67: h6d2
68: e5e4
69: d3e3
70: c6e5
71: g4e2
72: g2h2
73: h3h4
74: h2h3
75: e3f2
76: h3h2
77: f2e3
78: h2h3
79: e3f2
80: h3h2
