Result: White wins by checkmate

1: e2e4
2: c7c5
3: g1f3
4: e7e6
5: d2d4
6: c5d4
7: f3d4
8: a7a6
9: b1c3
10: d8c7
11: f1d3
12: g8f6
13: e1g1
14: f8c5
15: d4b3
16: c5e7
17: f2f4
18: d7d6
19: e4e5
20: d6e5
21: f4e5
22: c7b6
23: g1h1
24: b6c7
25: e5f6
26: e7f6
27: c3e4
28: b8d7
29: e4f6
30: d7f6
31: d3e2
32: c7e5
33: c1f4
34: e5d5
35: d1d5
36: f6d5
37: f4d2
38: d5f6
39: d2c3
40: e8e7
41: c3b4
42: e7d8
43: a1d1
44: d8c7
45: b4d6
46: c7b6
47: d6c5
48: b6c6
49: e2f3
50: c6c7
51: c5d6
52: c7b6
53: d6c5
54: b6c7
55: c5d6
56: c7b6
57: d1d4
58: c8d7
59: d4b4
60: d7b5
61: c2c4
62: a8c8
63: c4b5
64: a6a5
65: b4d4
66: c8c2
67: d6e5
68: a5a4
69: d4d6
70: b6c7
71: d6c6
72: c7d8
73: c6c2
74: a4b3
75: c2d2
76: d8e7
77: e5d6
78: e7d7
79: d6e5
80: f6d5
81: f3d5
82: e6d5
83: e5g7
84: h8g8
85: d2d5
86: d7e6
87: d5e5
88: e6d6
89: e5g5
90: g8g7
91: g5g7
92: b3a2
93: g7h7
94: d6e5
95: h7f7
96: e5d5
97: f1a1
98: d5c4
99: f7b7
100: c4b3
101: b7a7
102: b3b4
103: b5b6
104: b4c4
105: b6b7
106: c4d5
107: b7b8q
108: d5e4
109: a1e1
110: e4d3
111: b8b4
112: a2a1q
113: b4c3
