Result: Draw by threefold repetition

1: d2d4
2: g8f6
3: c2c4
4: e7e6
5: b1c3
6: f8b4
7: d1c2
8: d7d5
9: a2a3
10: b4c3
11: c2c3
12: f6e4
13: c3c2
14: c7c5
15: d4c5
16: b8c6
17: e2e3
18: d8a5
19: c1d2
20: a5c5
21: b2b4
22: c5e7
23: d2c1
24: a7a5
25: b4b5
26: c6e5
27: c1b2
28: e5g4
29: g1h3
30: e4f2
31: h3f2
32: g4e3
33: c2e2
34: e3c4
35: e2g4
36: e6e5
37: g4g7
38: h8f8
39: f1c4
40: d5c4
41: b2e5
42: f7f6
43: g7e7
44: e8e7
45: e5f4
46: c8e6
47: e1g1
48: a8d8
49: f4h6
50: f8g8
51: h6e3
52: e6d5
53: g2g4
54: e7d6
55: e3b6
56: d8a8
57: h2h3
58: h7h5
59: a1c1
60: f6f5
61: f1d1
62: h5g4
63: h3g4
64: a8c8
65: d1d4
66: c8c5
67: b6c5
68: d6c5
69: c1d1
70: d5f3
71: d4d8
72: g8d8
73: d1d8
74: f5g4
75: f2d1
76: c5b5
77: d1c3
78: b5c5
79: c3a4
80: c5b5
81: a4c3
82: b5c5
83: c3a4
84: c5b5
