label,games,white_wins,draws,black_wins,white_score,avg_moves,avg_time_white,avg_time_black
minimax_nn_d2_vs_minimax_nn_d4,30.0,11.0,12.0,7.0,0.567,99.1,3.743,40.811
minimax_nn_d3_vs_minimax_nn_d4,30.0,0.0,10.0,20.0,0.167,92.0,9.802,42.178
minimax_nn_d4_vs_minimax_nn_d4,30.0,10.0,14.0,6.0,0.567,106.2,45.839,45.996
minimax_nn_d5_vs_minimax_nn_d4,30.0,20.0,9.0,1.0,0.817,90.8,135.776,40.335
minimax_trad_d2_vs_minimax_trad_d4,30.0,1.0,9.0,20.0,0.183,68.1,0.112,1.3
minimax_trad_d3_vs_minimax_trad_d4,30.0,3.0,9.0,18.0,0.25,93.7,0.235,1.052
minimax_trad_d4_vs_minimax_trad_d4,30.0,6.0,15.0,9.0,0.45,92.7,0.656,0.724
minimax_trad_d5_vs_minimax_trad_d4,30.0,23.0,7.0,0.0,0.883,82.0,3.792,1.033
