player,elo,games
minimax_trad_d5,340.5,30
minimax_nn_d5,250.0,30
minimax_nn_d2,47.7,30
minimax_trad_d4,19.5,120
minimax_nn_d4,1.7,120
minimax_trad_d3,-166.6,30
minimax_trad_d2,-229.0,30
minimax_nn_d3,-263.7,30
