Result: Draw by threefold repetition

1: d2d3
2: e4f6
3: d3d4
4: d6d5
5: f1d3
6: f8d6
7: e1g1
8: e8g8
9: c1g5
10: h7h6
11: g5h4
12: c8e6
13: f3e5
14: c7c5
15: f1e1
16: c5c4
17: d3f1
18: b8c6
19: g2g4
20: d8b6
21: b1c3
22: g7g5
23: h4g3
24: a8d8
25: d1f3
26: d6e7
27: b2b3
28: c4b3
29: a2b3
30: c6e5
31: d4e5
32: f6e4
33: c3e4
34: d5e4
35: f3e4
36: d8d4
37: e4e3
38: e7c5
39: f1e2
40: d4g4
41: e3f3
42: f7f5
43: e5f6
44: g4g3
45: h2g3
46: c5d4
47: c2c3
48: f8f6
49: c3d4
50: f6f3
51: e2f3
52: g8f8
53: d4d5
54: e6c8
55: f3h5
56: c8d7
57: e1e3
58: g5g4
59: a1c1
60: b6d4
61: c1c4
62: d4d1
63: g1h2
64: d1d5
65: h5g4
66: d7g4
67: c4g4
68: a7a5
69: b3b4
70: a5b4
71: g4b4
72: d5h5
73: b4h4
74: h5c5
75: h4g4
76: b7b5
77: h2g1
78: h6h5
79: g4e4
80: c5c1
81: e3e1
82: c1b2
83: e4e2
84: b2b4
85: e2e4
86: b4a5
87: e1c1
88: f8g7
89: c1b1
90: g7g6
91: e4h4
92: g6h6
93: h4b4
94: h6g6
95: b4b5
96: a5a2
97: b5b2
98: a2f7
99: b2b6
100: g6f5
101: b6h6
102: f7a2
103: b1b6
104: a2a1
105: g1g2
106: a1a8
107: b6c6
108: h5h4
109: h6h5
110: f5e4
111: h5h4
112: e4e5
113: h4c4
114: a8b7
115: c4c3
116: e5d4
117: c3c2
118: d4e4
119: c6c7
120: b7a8
121: c7c8
122: a8b7
123: c2c7
124: b7b5
125: c7c5
126: b5b3
127: c5c3
128: b3a2
129: c3c2
130: a2a7
131: c2c7
132: a7a2
133: c7c2
134: a2a7
135: c2c7
136: a7a2
