label,side,eval_mean,eval_std,eval_median,time_s_mean,time_s_std,time_s_median,phase_mean,phase_std,phase_median,nodes_searched_mean,nodes_searched_std,nodes_searched_median,depth_completed_mean,depth_completed_std,depth_completed_median,tt_lookups_mean,tt_lookups_std,tt_lookups_median,tt_hits_mean,tt_hits_std,tt_hits_median,tt_cutoffs_mean,tt_cutoffs_std,tt_cutoffs_median,nmp_attempts_mean,nmp_attempts_std,nmp_attempts_median,nmp_cutoffs_mean,nmp_cutoffs_std,nmp_cutoffs_median,rfp_cutoffs_mean,rfp_cutoffs_std,rfp_cutoffs_median,futility_prunes_mean,futility_prunes_std,futility_prunes_median,lmp_prunes_mean,lmp_prunes_std,lmp_prunes_median,see_prunes_mean,see_prunes_std,see_prunes_median,check_extensions_mean,check_extensions_std,check_extensions_median,aspiration_researches_mean,aspiration_researches_std,aspiration_researches_median,qs_nodes_mean,qs_nodes_std,qs_nodes_median,qs_max_depth_mean,qs_max_depth_std,qs_max_depth_median,see_calls_mean,see_calls_std,see_calls_median,tt_size_mean,tt_size_std,tt_size_median,tt_hit_rate_mean,tt_hit_rate_std,tt_hit_rate_median,tt_cutoff_rate_mean,tt_cutoff_rate_std,tt_cutoff_rate_median,nmp_success_rate_mean,nmp_success_rate_std,nmp_success_rate_median,ebf_mean_mean,ebf_mean_std,ebf_mean_median
minimax_nn_d2_vs_minimax_nn_d4,BLACK,20285.132068965515,293582.24761810317,1.29,40.041808992562544,35.099645689931215,29.8832,0.34665458259606113,0.33560772997107025,0.2765957446808511,1969.6247464503042,2119.1936144671395,1520.0,4.0,0.0,4.0,1968.2853279242731,2113.8876452450413,1520.0,140.710615280595,419.41140706762366,57.0,81.96754563894524,291.507330919535,28.0,26.749154834347532,17.634999038799876,26.0,10.857336037863421,11.201346390655758,8.0,183.6004056795132,133.95161720132464,166.0,193.20351588911427,221.5670627358436,123.0,3546.8302907369844,3250.053838463502,2785.0,219.20148749154833,260.7642846506055,126.0,335.3049357674104,415.5411762960958,213.0,1.3705206220419202,1.1664440889586014,1.0,1621.129817444219,2145.5940191258687,1097.0,4.940500338066261,2.1387531983384918,5.0,1074.8526031102097,1209.268719029141,696.0,13474.457741717377,9308.693173453643,11922.0,0.06449959432048682,0.09335029493317827,0.0403,0.5459268424611223,0.25048197432484826,0.5429,0.34182738336713997,0.2696102226655116,0.3333,9.122792427315755,29.47173937229933,4.37
minimax_nn_d2_vs_minimax_nn_d4,WHITE,26793.79683858004,272667.9870194234,2.52,3.7264823844608173,3.1025577340652783,2.8184,0.3529235724159553,0.3384266956095061,0.2978723404255319,138.40120562625586,103.98258089657503,113.0,2.0,0.0,2.0,138.31413261888815,103.82278825863531,112.0,4.908238446081715,16.489423628494162,0.0,2.0073677160080377,7.059253189959182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.8821165438714,14.08789082521931,10.0,4.944407233757535,11.280733587332245,0.0,75.2806430006698,70.51885174996251,60.0,7.785666443402545,12.462636202419874,3.0,12.961152042866711,22.45322434285122,5.0,0.36570663094440725,0.4817891278794752,0.0,138.06430006697923,127.90860989282234,98.0,3.1969189551239117,1.8833448488884954,3.0,76.59276624246483,95.98084176110977,39.0,768.7702612190221,551.6301519411003,709.0,0.026779571332886807,0.07733912796959642,0.0,0.1708028801071668,0.327382732763258,0.0,0.0,0.0,0.0,3.85569323509712,4.184744716566295,2.51
minimax_nn_d3_vs_minimax_nn_d4,BLACK,-95067.18773584906,293409.09191776084,-2.93,40.522253047895504,42.451283837673884,28.902549999999998,0.341907791124973,0.3438975816789326,0.2553191489361702,1942.510159651669,3422.8083941541436,1196.5,4.0,0.0,4.0,1939.7249637155298,3417.215686667921,1196.5,168.08417997097243,580.6908903366018,47.0,103.34252539912917,463.93046608558757,22.0,25.94847605224964,18.68594052034261,24.0,12.229317851959362,12.418551948780548,10.0,157.9433962264151,121.35004189853746,146.0,149.41582002902757,343.78037898125217,81.0,3135.6712626995645,3513.396008221917,2347.0,151.73076923076923,182.12805058133733,85.5,279.81857764876634,723.264111545989,116.0,0.9325108853410741,1.0383788242592837,1.0,1645.9477503628448,4081.469267486461,840.5,4.59288824383164,2.0577378108439555,4.0,859.8838896952104,1378.0391327652303,482.5,9561.476777939042,7053.372162488559,8301.0,0.06544927431059507,0.09789857401760238,0.038,0.5712978229317851,0.27946503788965155,0.5714,0.38597322206095785,0.28047143340128483,0.3871,7.9052394775036285,21.104980158436472,3.885
minimax_nn_d3_vs_minimax_nn_d4,WHITE,-73084.37217800289,260363.97718357723,-2.705,9.4455498552822,9.163358736892341,6.64335,0.3500015395510669,0.346162419433795,0.2553191489361702,377.9052098408104,279.06151113461294,326.5,3.0,0.0,3.0,377.71128798842255,279.15182620536876,326.5,17.743849493487698,26.950101701012684,6.0,5.610709117221418,10.256329583624225,2.0,0.0,0.0,0.0,0.0,0.0,0.0,35.5246020260492,31.14952683602071,30.0,26.989146164978294,41.04312242068636,13.0,723.1410998552822,764.5404091879897,488.0,36.010853835021706,51.08853354810575,17.0,44.48191027496382,61.55270107182477,26.5,0.6266280752532561,0.7721342038124522,0.0,311.92257597684517,302.45851501657455,243.5,3.5144717800289436,1.8858078446481714,3.0,185.81837916063677,227.15459876517164,108.0,2334.18017366136,1656.6687118894597,2052.0,0.05399015918958032,0.09928201271811096,0.0207,0.3886887843704776,0.3994202772373054,0.2308,0.0,0.0,0.0,5.040492040520984,7.3643160447990335,3.58
minimax_nn_d4_vs_minimax_nn_d4,BLACK,10101.51428661616,263410.84038619563,0.01,52.133501073232324,73.2734027214904,33.09,0.3252202879862454,0.34486187943092506,0.1702127659574468,1623.2121212121212,1532.1376304744624,1228.5,4.0,0.0,4.0,1621.0239898989898,1525.9310572035047,1227.0,110.75315656565657,255.02415934037091,49.0,64.69570707070707,195.82739788002073,23.0,22.734848484848484,16.08883731873996,22.0,9.08459595959596,10.047601931530117,7.0,153.99810606060606,120.97159049581302,136.0,155.62878787878788,191.35894264953356,91.0,2987.880681818182,3059.1218921052064,2120.0,174.25757575757575,220.73019994575452,86.5,237.35479797979798,369.6239390934226,135.0,0.9204545454545454,1.0147295718861187,1.0,1243.3093434343434,1562.2148947562973,835.5,4.403409090909091,1.9509496190934144,4.0,729.1300505050505,902.3604090251958,458.0,11589.546717171717,9786.363507660551,9805.5,0.05860530303030303,0.06804246674516759,0.0409,0.5514186237373737,0.2663130782872576,0.5625,0.33311243686868686,0.2646229170499863,0.3333,8.200997474747476,21.763128900681732,4.13
minimax_nn_d4_vs_minimax_nn_d4,WHITE,18102.820667915108,265050.9799932023,0.05,49.49291079900125,56.5142710292818,34.1934,0.329946609291577,0.34754750377175353,0.1702127659574468,1685.6186017478153,2523.974048372032,1226.0,4.0,0.0,4.0,1682.5287141073659,2507.5375668335087,1226.0,136.65917602996254,584.6376766303509,52.5,85.12734082397004,402.74345101374536,21.0,22.56367041198502,16.221068140045013,21.5,9.120474406991262,9.578295930335209,7.0,159.80461922596754,119.6093627349147,146.0,159.09925093632958,195.36437108262052,94.0,2985.935081148564,2994.9860450257684,2230.0,178.56554307116104,233.81129396480173,86.0,235.1972534332085,389.7768173107223,129.5,0.883270911360799,1.0235123603530247,1.0,1248.4513108614233,1945.7589015919848,827.0,4.332084893882647,1.8834448943001627,4.0,703.4825218476904,739.156008737904,466.0,11482.450686641698,8658.78603042466,9920.0,0.06246198501872659,0.08195528745048487,0.04145,0.5340641073657928,0.27867950128881813,0.53905,0.3455065543071161,0.266646588645373,0.3333,7.4837328339575535,14.66346899514831,4.03
minimax_nn_d5_vs_minimax_nn_d4,BLACK,99114.61667899408,313425.59072859853,3.16,39.728219156804734,35.4715779696185,28.5487,0.3858271433967015,0.33942636517450814,0.40425531914893614,1725.1457100591715,1376.9768950764847,1387.0,4.0,0.0,4.0,1724.0221893491125,1375.8359820110252,1387.0,96.24408284023669,155.78974199328752,55.0,53.968934911242606,129.8867430558742,26.0,24.74852071005917,17.910677648482366,23.0,8.028106508875739,9.476174180174961,5.0,175.20710059171597,137.9382176782432,154.0,159.4630177514793,186.1232333555793,106.0,3495.958579881657,3460.98333811027,2786.5,218.25665680473372,263.08537696670794,131.0,263.1205621301775,389.6656135885016,157.0,1.2189349112426036,1.0886655350150811,1.0,1386.771449704142,1354.5356912402833,1018.0,4.761094674556213,2.1290409533664487,5.0,989.4585798816568,1092.1584146653177,650.0,10723.729289940828,7046.9904061623965,10026.5,0.06055051775147929,0.08933968012774376,0.0399,0.5459074704142012,0.26652432386992725,0.5556,0.26816930473372785,0.2407311292239924,0.2283,9.17241124260355,18.720858942382932,4.675
minimax_nn_d5_vs_minimax_nn_d4,WHITE,109331.62944606414,325880.55329602276,3.47,133.6889782069971,116.03327647854019,101.6622,0.38956950561379566,0.3424618190025182,0.40425531914893614,8535.497084548106,22601.539557576893,4367.0,5.0,0.0,5.0,8510.575072886297,22457.765140810792,4367.0,1272.8155976676385,6626.589837910779,204.0,1081.9190962099126,6430.201428410632,128.0,123.83892128279884,75.328686050459,114.0,57.58600583090379,52.5009593279164,49.0,663.8841107871721,535.0747158565363,588.0,661.8367346938776,1501.2364754062337,320.5,14961.553935860058,36715.66600475705,9267.5,676.9919825072886,764.7252844611867,405.5,1905.0145772594751,10571.982008448076,424.5,0.9642857142857143,1.1607644806036543,1.0,6139.2827988338195,16623.319409794596,2754.0,5.357142857142857,2.0150781007211185,5.0,3458.661807580175,7849.586269374283,2007.5,33870.718658892125,27283.402255048713,29801.0,0.07488017492711371,0.08341887510697048,0.04875,0.6504454810495627,0.21696448354589587,0.67415,0.4285288629737609,0.20268190356167257,0.4348,20.784672011661808,83.35073047150244,4.85
minimax_trad_d2_vs_minimax_trad_d4,BLACK,-51081.884190659446,229023.2877910805,-0.5494821276595732,1.1458562868369353,1.2787713880270164,0.7522500000000001,0.47600259164820463,0.3903914157918839,0.5279787234042553,2150.2986247544204,1962.9589651686974,1677.0,4.0,0.0,4.0,2148.056974459725,1957.8617027499329,1677.0,141.9204322200393,250.6730145649537,81.0,80.49312377210217,221.1561167507465,34.0,37.29371316306483,24.139572437948537,36.0,20.82023575638507,16.705091491925657,20.0,139.73084479371317,134.37809794365765,104.0,356.2337917485265,416.68790548531956,254.5,4164.615913555992,4254.437168795343,3056.5,270.17681728880154,333.3260591726773,150.0,380.0746561886051,468.0556681442247,246.0,1.4351669941060903,1.1333077481109117,1.0,3031.024557956778,4188.748224198806,1727.0,6.44106090373281,2.1740771059824677,8.0,2750.598231827112,3943.671495196121,1344.0,14931.399803536346,13559.616723331737,11479.0,0.08242367387033399,0.11566007206834684,0.051699999999999996,0.5361987229862475,0.2739731105746239,0.50415,0.4900277996070727,0.30849537338742444,0.5714,9.087956777996071,23.046764717910676,4.575
minimax_trad_d2_vs_minimax_trad_d4,WHITE,-22461.441311465376,154702.3165233213,0.2386328457446828,0.09799912109375,0.10540763256121125,0.07075000000000001,0.4845655335771276,0.3931376005782402,0.5391489361702126,153.3603515625,108.82905618653973,133.0,2.0,0.0,2.0,153.0361328125,108.41996684756785,133.0,8.92578125,16.59400660200927,1.0,2.560546875,7.996715240465725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.16796875,10.721348842015166,1.0,4.1455078125,10.450802648036595,0.0,71.6318359375,78.93453616236418,44.5,8.8134765625,14.14798805503154,3.0,16.71875,20.634201789261464,8.0,0.390625,0.4881288710181026,0.0,284.5595703125,386.77367190742643,180.0,4.84765625,2.4222482901389633,5.0,250.1123046875,368.82656397845,118.5,911.9384765625,828.4209449886087,740.0,0.05918759765625,0.1318538305917975,0.0060999999999999995,0.1900017578125,0.3418866623449653,0.0,0.0,0.0,0.0,5.386669921875,5.1188797559093,4.01
