"Matchup","Game","White","Black","Swapped","OpeningIdx","Result","Termination","TimeSec","ExitCode"
"minimax_trad_d3_vs_minimax_trad_d4","8","MINIMAX_TRAD","MINIMAX_TRAD","False","7","0-1","checkmate","58,03","0"
"minimax_trad_d3_vs_minimax_trad_d4","9","MINIMAX_TRAD","MINIMAX_TRAD","False","8","0-1","checkmate","50,16","0"
"minimax_trad_d3_vs_minimax_trad_d4","10","MINIMAX_TRAD","MINIMAX_TRAD","False","9","0-1","checkmate","75,44","0"
"minimax_trad_d3_vs_minimax_trad_d4","11","MINIMAX_TRAD","MINIMAX_TRAD","False","10","0-1","checkmate","45,92","0"
"minimax_trad_d3_vs_minimax_trad_d4","12","MINIMAX_TRAD","MINIMAX_TRAD","False","11","0-1","checkmate","89,34","0"
"minimax_trad_d3_vs_minimax_trad_d4","13","MINIMAX_TRAD","MINIMAX_TRAD","False","12","1/2-1/2","draw_3fold_claim","34,06","0"
"minimax_trad_d3_vs_minimax_trad_d4","14","MINIMAX_TRAD","MINIMAX_TRAD","False","13","0-1","checkmate","85,5","0"
"minimax_trad_d3_vs_minimax_trad_d4","15","MINIMAX_TRAD","MINIMAX_TRAD","False","14","1/2-1/2","draw_3fold_claim","69,38","0"
"minimax_trad_d3_vs_minimax_trad_d4","16","MINIMAX_TRAD","MINIMAX_TRAD","True","15","0-1","checkmate","91,37","0"
"minimax_trad_d3_vs_minimax_trad_d4","17","MINIMAX_TRAD","MINIMAX_TRAD","True","16","1/2-1/2","draw_3fold_claim","58,45","0"
"minimax_trad_d3_vs_minimax_trad_d4","18","MINIMAX_TRAD","MINIMAX_TRAD","True","17","1/2-1/2","draw_3fold_claim","45,68","0"
"minimax_trad_d3_vs_minimax_trad_d4","19","MINIMAX_TRAD","MINIMAX_TRAD","True","18","0-1","checkmate","42,35","0"
"minimax_trad_d3_vs_minimax_trad_d4","20","MINIMAX_TRAD","MINIMAX_TRAD","True","19","0-1","checkmate","37,34","0"
"minimax_trad_d3_vs_minimax_trad_d4","21","MINIMAX_TRAD","MINIMAX_TRAD","True","20","0-1","checkmate","41,97","0"
"minimax_trad_d3_vs_minimax_trad_d4","22","MINIMAX_TRAD","MINIMAX_TRAD","True","21","1-0","checkmate","42,53","0"
"minimax_trad_d3_vs_minimax_trad_d4","23","MINIMAX_TRAD","MINIMAX_TRAD","True","22","1/2-1/2","draw_3fold_claim","43,47","0"
"minimax_trad_d3_vs_minimax_trad_d4","24","MINIMAX_TRAD","MINIMAX_TRAD","True","23","0-1","checkmate","41,87","0"
"minimax_trad_d3_vs_minimax_trad_d4","25","MINIMAX_TRAD","MINIMAX_TRAD","True","24","0-1","checkmate","53,07","0"
"minimax_trad_d3_vs_minimax_trad_d4","26","MINIMAX_TRAD","MINIMAX_TRAD","True","0","0-1","checkmate","45,86","0"
"minimax_trad_d3_vs_minimax_trad_d4","27","MINIMAX_TRAD","MINIMAX_TRAD","True","1","1-0","checkmate","39,78","0"
