Result: Draw by threefold repetition

1: d1b3
2: b8c6
3: g1f3
4: f6e4
5: b1c3
6: e8g8
7: c1f4
8: d5c4
9: b3c4
10: e4c3
11: c4c3
12: e7b4
13: a1c1
14: b4c3
15: c1c3
16: d8d5
17: a2a4
18: d5e4
19: c3d3
20: c6b4
21: d3c3
22: b4d5
23: c3c5
24: e4b1
25: f4c1
26: b1e4
27: c1g5
28: c8d7
29: a4a5
30: e4b1
31: g5c1
32: b1e4
33: c1g5
34: e4b1
35: g5c1
36: b1a1
37: f3e5
38: d7b5
39: g2e4
40: a1a5
41: c1d2
42: a5a1
43: d2c1
44: a1a5
45: c1d2
46: a5a1
47: d2c1
