Result: Black wins by checkmate

1: d4d5
2: c8g4
3: g1f3
4: g4f3
5: d1f3
6: b8d7
7: c1e3
8: d7e5
9: f3h3
10: f6g4
11: e3g5
12: g7f6
13: g5f4
14: g6g5
15: f4d2
16: h7h5
17: a2a3
18: e7e6
19: f1e2
20: e6d5
21: e4d5
22: d8d7
23: e1f1
24: d7f5
25: f2f3
26: g4h2
27: h3h2
28: g5g4
29: f3f4
30: e5d3
31: a1b1
32: f6g5
33: g2g3
34: g5f6
35: d2e3
36: h8h7
37: h2g2
38: f6g7
39: h1h4
40: a7a5
41: h4h1
42: h7h8
43: h1h4
44: e8e7
45: h4h1
46: a8e8
47: h1h4
48: e7d7
49: g2g1
50: d7c8
51: h4h2
52: g7f6
53: h2h1
54: c8b8
55: h1h2
56: b7b6
57: h2h1
58: f6c3
59: b2c3
60: d3f4
61: b1b6
62: c7b6
63: e3f4
64: f5b1
65: f1f2
66: b1b2
67: f4d6
68: b8b7
69: g1e1
70: b7a8
71: a3a4
72: e8e4
73: d6f4
74: h5h4
75: f2f1
76: h4h3
77: f4d2
78: b2c2
79: e1d1
80: c2d1
81: e2d1
82: a8b7
83: d2f4
84: h8e8
85: f1f2
86: f7f5
87: c4c5
88: b6c5
89: f4d6
90: e8d8
91: d6c5
92: d8d5
93: c5e3
94: d5d3
95: h1e1
96: e4e3
97: e1e3
98: d3d1
99: e3e7
100: b7c6
101: e7e6
102: d1d6
103: e6d6
104: c6d6
105: f2e3
106: h3h2
107: e3f4
108: h2h1q
109: f4f5
110: h1f3
111: f5g5
112: f3g3
113: c3c4
114: g3f3
115: g5h5
116: g4g3
117: h5h4
118: g3g2
119: h4g5
120: g2g1q
121: g5h6
122: f3h3
