evaluator,depth,time_s_mean,time_s_std,time_s_count,nodes_searched_mean,nodes_searched_std,nodes_searched_count,depth_completed_mean,depth_completed_std,depth_completed_count,tt_hit_rate_mean,tt_hit_rate_std,tt_hit_rate_count,tt_cutoff_rate_mean,tt_cutoff_rate_std,tt_cutoff_rate_count,nmp_success_rate_mean,nmp_success_rate_std,nmp_success_rate_count,ebf_mean_mean,ebf_mean_std,ebf_mean_count,nmp_cutoffs_mean,nmp_cutoffs_std,nmp_cutoffs_count,rfp_cutoffs_mean,rfp_cutoffs_std,rfp_cutoffs_count,futility_prunes_mean,futility_prunes_std,futility_prunes_count,lmp_prunes_mean,lmp_prunes_std,lmp_prunes_count,see_prunes_mean,see_prunes_std,see_prunes_count,check_extensions_mean,check_extensions_std,check_extensions_count,qs_nodes_mean,qs_nodes_std,qs_nodes_count,qs_max_depth_mean,qs_max_depth_std,qs_max_depth_count
NN,2,3.7264823844608173,3.1025577340652783,1493,138.40120562625586,103.98258089657503,1493,2.0,0.0,1493,0.026779571332886807,0.07733912796959642,1493,0.1708028801071668,0.327382732763258,1493,0.0,0.0,1493,3.85569323509712,4.184744716566295,1493,0.0,0.0,1493,13.8821165438714,14.08789082521931,1493,4.944407233757535,11.280733587332245,1493,75.2806430006698,70.51885174996251,1493,7.785666443402545,12.462636202419874,1493,12.961152042866711,22.45322434285122,1493,138.06430006697923,127.90860989282234,1493,3.1969189551239117,1.8833448488884954,1493
NN,3,9.4455498552822,9.163358736892341,1382,377.9052098408104,279.06151113461294,1382,3.0,0.0,1382,0.05399015918958032,0.09928201271811096,1382,0.3886887843704776,0.3994202772373054,1382,0.0,0.0,1382,5.040492040520984,7.3643160447990335,1382,0.0,0.0,1382,35.5246020260492,31.14952683602071,1382,26.989146164978294,41.04312242068636,1382,723.1410998552822,764.5404091879897,1382,36.010853835021706,51.08853354810575,1382,44.48191027496382,61.55270107182477,1382,311.92257597684517,302.45851501657455,1382,3.5144717800289436,1.8858078446481714,1382
NN,4,49.49291079900125,56.5142710292818,1602,1685.6186017478153,2523.974048372032,1602,4.0,0.0,1602,0.06246198501872659,0.08195528745048487,1602,0.5340641073657928,0.27867950128881813,1602,0.3455065543071161,0.266646588645373,1602,7.4837328339575535,14.66346899514831,1602,9.120474406991262,9.578295930335209,1602,159.80461922596754,119.6093627349147,1602,159.09925093632958,195.36437108262052,1602,2985.935081148564,2994.9860450257684,1602,178.56554307116104,233.81129396480173,1602,235.1972534332085,389.7768173107223,1602,1248.4513108614233,1945.7589015919848,1602,4.332084893882647,1.8834448943001627,1602
NN,5,133.6889782069971,116.03327647854019,1372,8535.497084548106,22601.539557576893,1372,5.0,0.0,1372,0.07488017492711371,0.08341887510697048,1372,0.6504454810495627,0.21696448354589587,1372,0.4285288629737609,0.20268190356167257,1372,20.784672011661808,83.35073047150244,1372,57.58600583090379,52.5009593279164,1372,663.8841107871721,535.0747158565363,1372,661.8367346938776,1501.2364754062337,1372,14961.553935860058,36715.66600475705,1372,676.9919825072886,764.7252844611867,1372,1905.0145772594751,10571.982008448076,1372,6139.2827988338195,16623.319409794596,1372,5.357142857142857,2.0150781007211185,1372
TRAD,2,0.09799912109375,0.10540763256121125,1024,153.3603515625,108.82905618653973,1024,2.0,0.0,1024,0.05918759765625,0.1318538305917975,1024,0.1900017578125,0.3418866623449653,1024,0.0,0.0,1024,5.386669921875,5.1188797559093,1024,0.0,0.0,1024,7.16796875,10.721348842015166,1024,4.1455078125,10.450802648036595,1024,71.6318359375,78.93453616236418,1024,8.8134765625,14.14798805503154,1024,16.71875,20.634201789261464,1024,284.5595703125,386.77367190742643,1024,4.84765625,2.4222482901389633,1024
TRAD,3,0.2082513839602555,0.26543870480467174,1409,426.53655074520935,400.2600489621673,1409,3.0,0.0,1409,0.09058140525195174,0.1314444748420024,1409,0.44122583392476933,0.3912836440113115,1409,0.0,0.0,1409,5.068232789212208,5.0967099946567815,1409,0.0,0.0,1409,22.599006387508872,28.444903364594555,1409,65.08942512420157,92.30543393447218,1409,655.5514549325763,750.802361776067,1409,35.01703335699077,49.375644351372614,1409,74.06884315117104,145.7915267185865,1409,536.2533711852377,878.7457101547658,1409,4.840312278211497,2.3118196576908407,1409
TRAD,4,0.6145389684813753,0.6062599021310761,1396,1538.599570200573,1502.4670773078785,1396,4.0,0.0,1396,0.09692385386819484,0.12994676703222102,1396,0.5866197707736389,0.29295950058869985,1396,0.32590694842406875,0.30431267117389227,1396,9.787134670487106,26.827178466476376,1396,11.060171919770774,13.189355585431487,1396,93.63610315186246,100.97760545365966,1396,333.2700573065903,471.5720260599548,1396,2437.8409742120343,3217.39533901636,1396,125.38252148997135,195.8232538856995,1396,234.53080229226362,330.494552496331,1396,1518.1267908309455,1669.466916517441,1396,5.265759312320917,2.247484184104199,1396
TRAD,5,3.510743236714976,4.749911750176282,1242,8925.54267310789,16567.37966095326,1242,5.0,0.0,1242,0.09715072463768115,0.10582176493616295,1242,0.640922383252818,0.22755728449298732,1242,0.4535206119162641,0.2272269728833912,1242,20.24071658615137,67.13923023323414,1242,79.67391304347827,71.46487805314696,1242,526.574074074074,633.745283497643,1242,2358.4251207729467,5209.138903316955,1242,15784.77616747182,23618.18125150938,1242,797.5136876006442,1036.2264655405368,1242,1874.6360708534621,6111.773633770023,1242,8736.799516908213,13962.702363906705,1242,6.421900161030596,2.1511993385959083,1242
