Result: Draw by threefold repetition

1: e2e4
2: e8g8
3: g1e2
4: a7a6
5: h2h4
6: h7h5
7: c1e3
8: b8d7
9: d1d2
10: b7b5
11: e1c1
12: d7b6
13: e2f4
14: b6c4
15: f1c4
16: b5c4
17: g2g4
18: f6g4
19: f3g4
20: c8g4
21: d1g1
22: d8d7
23: c3d1
24: a8b8
25: h1h2
26: e7e6
27: d2c2
28: c4c3
29: b2b3
30: c7c5
31: d4d5
32: c5c4
33: b3c4
34: e6d5
35: f4d5
36: g4d1
37: c2d1
38: d7e6
39: d1d3
40: b8e8
41: c1c2
42: e8b8
43: c2c1
44: f8e8
45: d5c3
46: e8c8
47: c3d5
48: e6e5
49: h2c2
50: b8b1
51: c1d2
52: c8b8
53: g1b1
54: e5h2
55: d3e2
56: h2e2
57: d2e2
58: b8b1
59: d5c3
60: b1h1
61: e3f4
62: g7f8
63: f4g3
64: g8g7
65: c3d5
66: g6g5
67: h4g5
68: h5h4
69: g3f4
70: h1b1
71: d5c3
72: b1b7
73: c3d5
74: b7b1
75: d5c3
76: b1b4
77: e2d3
78: b4b1
