Result: Draw by threefold repetition

1: d2d4
2: g8f6
3: c2c4
4: g7g6
5: b1c3
6: f8g7
7: e2e4
8: d7d6
9: f1e2
10: e8g8
11: g1f3
12: e7e5
13: c1e3
14: f6g4
15: e3g5
16: f7f6
17: g5h4
18: b8c6
19: d4d5
20: c6e7
21: f3d2
22: g4h6
23: f2f3
24: c7c5
25: a1b1
26: g6g5
27: h4f2
28: f6f5
29: b2b4
30: b7b6
31: b4c5
32: b6c5
33: e4f5
34: h6f5
35: e1g1
36: e7g6
37: g2g3
38: f5d4
39: f1e1
40: c8h3
41: c3e4
42: f8f7
43: e2f1
44: h3f1
45: e1f1
46: h7h6
47: f1e1
48: a7a5
49: e1f1
50: a5a4
51: a2a3
52: g8h8
53: g1h1
54: a8a6
55: b1b2
56: h8h7
57: f2e3
58: d8e7
59: f1e1
60: e7d8
61: h1g2
62: h7h8
63: e4c3
64: d8a5
65: c3e4
66: a5d8
67: d1b1
68: h8h7
69: b2b8
70: d8e7
71: b8b5
72: d4b5
73: c4b5
74: a6a8
75: d2c4
76: a8d8
77: c4d6
78: f7f6
79: e3c5
80: f6d6
81: e1c1
82: g7f8
83: h2h4
84: g5h4
85: c5d6
86: d8d6
87: e4d6
88: h4h3
89: g2h3
90: e7d6
91: b1a2
92: d6b6
93: d5d6
94: b6d6
95: c1c6
96: d6d7
97: h3g2
98: g6e7
99: c6f6
100: f8g7
101: f6f7
102: h7g6
103: b5b6
104: g7f6
105: f7f8
106: e7f5
107: g3g4
108: f5e3
109: g2h1
110: d7b7
111: a2g8
112: f6g7
113: f8f7
114: b7f7
115: g8f7
116: g6f7
117: b6b7
118: e3d5
119: h1g2
120: d5f4
121: g2g1
122: f4h3
123: g1g2
124: h3f4
125: g2g1
126: f4h3
127: g1g2
