label,games,white_wins,draws,black_wins,white_score,avg_moves,avg_time_white,avg_time_black
mcts_trad_vs_mcts_nn,10.0,1.0,8.0,1.0,0.5,109.8,45.61,45.508
minimax_nn_vs_mcts_nn,10.0,1.0,7.0,2.0,0.45,112.6,39.158,37.424
minimax_nn_vs_mcts_trad,10.0,4.0,4.0,2.0,0.6,115.5,35.972,35.86
minimax_trad_vs_mcts_nn,10.0,2.0,7.0,1.0,0.55,111.6,23.659,23.903
minimax_trad_vs_mcts_trad,10.0,1.0,8.0,1.0,0.5,91.2,22.863,19.028
minimax_trad_vs_minimax_nn,10.0,3.0,4.0,3.0,0.5,89.6,12.964,13.133
