axis,MINIMAX_wins,draws,MCTS_wins,total_games,MINIMAX_score,pairs_used,TRAD_wins,NN_wins,TRAD_score
algorithm,13.0,26,1.0,40,0.65,minimax_nn_vs_mcts_nn; minimax_nn_vs_mcts_trad; minimax_trad_vs_mcts_nn; minimax_trad_vs_mcts_trad,,,
evaluator,,23,,40,,mcts_trad_vs_mcts_nn; minimax_nn_vs_mcts_trad; minimax_trad_vs_mcts_nn; minimax_trad_vs_minimax_nn,8.0,9.0,0.487
