Result: Black wins by checkmate

1: d2d3
2: e4f6
3: d1e2
4: f8e7
5: b1c3
6: e8g8
7: e2e7
8: d8e7
9: e1d2
10: c8f5
11: h2h4
12: f6g4
13: c3d5
14: e7d7
15: d5c7
16: b8c6
17: c7a8
18: g4f2
19: a8b6
20: a7b6
21: h1g1
22: f5g4
23: d2e3
24: g4f3
25: e3f3
26: f2g4
27: c2c3
28: g4e5
29: f3e4
30: d6d5
31: e4f4
32: d5d4
33: c3d4
34: e5g6
35: f4e4
36: f7f5
37: e4f3
38: g6h4
39: f3g3
40: h4g6
41: d4d5
42: c6b4
43: a2a4
44: b4c2
45: a1a2
46: c2b4
47: a2a3
48: b6b5
49: a4b5
50: f5f4
51: c1f4
52: g6f4
53: a3b3
54: d7d6
55: b3b4
56: d6b4
57: d3d4
58: b4d4
59: g3h2
60: f8d8
61: g2g3
62: f4d5
63: g1g2
64: d5e3
65: f1c4
66: d4c4
67: g2g1
68: c4e2
69: h2h3
70: e2h5
