Result: Draw by threefold repetition

1: h2h3
2: h7h6
3: g1f3
4: b8c6
5: h1g1
6: e7e5
7: d4d5
8: c6b8
9: f3h2
10: h6h5
11: h2f3
12: a7a5
13: a2a3
14: e8f8
15: f1d3
16: b8d7
17: f3h2
18: c7c6
19: e1e2
20: f6e8
21: g1e1
22: g6g5
23: c1e3
24: g7f6
25: f2f3
26: f8g8
27: e2f1
28: h8h6
29: e3f2
30: c6d5
31: c4d5
32: d7c5
33: d3b5
34: e8c7
35: b5c4
36: c7a6
37: c4b5
38: b7b6
39: b5c6
40: a8b8
41: c6b5
42: g5g4
43: f3g4
44: h5g4
45: h2g4
46: c8g4
47: h3g4
48: f6g5
49: a1b1
50: a6c7
51: b5c6
52: b6b5
53: b2b4
54: c7d5
55: e4d5
56: a5b4
57: a3b4
58: c5a4
59: c3a4
60: b5a4
61: c6a4
62: b8b4
63: b1b4
64: h6h1
65: f1e2
66: h1e1
67: e2e1
68: g5d2
69: e1d2
70: d8g5
71: f2e3
72: g5e3
73: d2e3
74: g8h7
75: a4c2
76: h7h8
77: d1h1
78: h8g7
79: h1h7
80: g7f6
81: h7f7
82: f6f7
83: b4b7
84: f7g8
85: b7b8
86: g8f7
87: b8b7
88: f7g8
89: b7b8
90: g8f7
