file,label,result,total_moves,termination,total_time_white,total_time_black,avg_time_white,avg_time_black
metrics_mcts_nn_10s_vs_mcts_nn_20s_g10_orig.jsonl,mcts_nn_10s_vs_mcts_nn_20s,0-1,114,checkmate,796.4948,1426.6038,13.9736,25.0281
metrics_mcts_nn_10s_vs_mcts_nn_20s_g11_orig.jsonl,mcts_nn_10s_vs_mcts_nn_20s,1/2-1/2,106,draw_3fold_claim,786.8032,1306.9445,14.8453,24.6593
metrics_mcts_nn_10s_vs_mcts_nn_20s_g12_orig.jsonl,mcts_nn_10s_vs_mcts_nn_20s,1/2-1/2,134,draw_3fold_claim,849.3302,1482.3858,12.6766,22.1252
metrics_mcts_nn_10s_vs_mcts_nn_20s_g13_orig.jsonl,mcts_nn_10s_vs_mcts_nn_20s,1/2-1/2,129,draw_3fold_claim,831.9265,1434.8531,12.7989,22.4196
metrics_mcts_nn_10s_vs_mcts_nn_20s_g14_orig.jsonl,mcts_nn_10s_vs_mcts_nn_20s,1/2-1/2,50,draw_3fold_claim,388.2468,582.3656,15.5299,23.2946
metrics_mcts_nn_10s_vs_mcts_nn_20s_g15_orig.jsonl,mcts_nn_10s_vs_mcts_nn_20s,0-1,54,checkmate,444.1433,677.4938,16.4498,25.0924
metrics_mcts_nn_10s_vs_mcts_nn_20s_g16_swap.jsonl,mcts_nn_10s_vs_mcts_nn_20s,1/2-1/2,138,draw_3fold_claim,897.7849,1542.4085,13.0114,22.3537
metrics_mcts_nn_10s_vs_mcts_nn_20s_g17_swap.jsonl,mcts_nn_10s_vs_mcts_nn_20s,1/2-1/2,127,draw_3fold_claim,933.3666,1568.3314,14.5839,24.8941
metrics_mcts_nn_10s_vs_mcts_nn_20s_g18_swap.jsonl,mcts_nn_10s_vs_mcts_nn_20s,1/2-1/2,188,draw_3fold_claim,1360.7561,2255.4738,14.4761,23.9944
metrics_mcts_nn_10s_vs_mcts_nn_20s_g19_swap.jsonl,mcts_nn_10s_vs_mcts_nn_20s,1/2-1/2,54,draw_3fold_claim,426.3749,690.9281,15.7917,25.5899
metrics_mcts_nn_10s_vs_mcts_nn_20s_g1_orig.jsonl,mcts_nn_10s_vs_mcts_nn_20s,1/2-1/2,141,draw_3fold_claim,840.5499,1648.4236,11.8387,23.5489
metrics_mcts_nn_10s_vs_mcts_nn_20s_g20_swap.jsonl,mcts_nn_10s_vs_mcts_nn_20s,0-1,52,checkmate,434.6281,647.8839,16.7165,24.9186
metrics_mcts_nn_10s_vs_mcts_nn_20s_g21_swap.jsonl,mcts_nn_10s_vs_mcts_nn_20s,1/2-1/2,78,draw_3fold_claim,558.3315,985.4157,14.3162,25.2671
metrics_mcts_nn_10s_vs_mcts_nn_20s_g22_swap.jsonl,mcts_nn_10s_vs_mcts_nn_20s,1/2-1/2,136,draw_3fold_claim,757.5532,1455.0164,11.1405,21.3973
metrics_mcts_nn_10s_vs_mcts_nn_20s_g23_swap.jsonl,mcts_nn_10s_vs_mcts_nn_20s,1/2-1/2,116,draw_insufficient,739.426,1332.2896,12.7487,22.9705
metrics_mcts_nn_10s_vs_mcts_nn_20s_g24_swap.jsonl,mcts_nn_10s_vs_mcts_nn_20s,1/2-1/2,90,draw_3fold_claim,680.496,1186.4815,15.1221,26.3663
metrics_mcts_nn_10s_vs_mcts_nn_20s_g25_swap.jsonl,mcts_nn_10s_vs_mcts_nn_20s,1/2-1/2,56,draw_3fold_claim,406.9909,723.6304,14.5354,25.8439
metrics_mcts_nn_10s_vs_mcts_nn_20s_g26_swap.jsonl,mcts_nn_10s_vs_mcts_nn_20s,1/2-1/2,96,draw_insufficient,607.7614,1149.9132,12.6617,23.9565
metrics_mcts_nn_10s_vs_mcts_nn_20s_g27_swap.jsonl,mcts_nn_10s_vs_mcts_nn_20s,1/2-1/2,135,draw_3fold_claim,924.4729,1604.8356,13.5952,23.9528
metrics_mcts_nn_10s_vs_mcts_nn_20s_g28_swap.jsonl,mcts_nn_10s_vs_mcts_nn_20s,1/2-1/2,147,draw_insufficient,1117.8402,1888.5647,15.1059,25.8707
metrics_mcts_nn_10s_vs_mcts_nn_20s_g29_swap.jsonl,mcts_nn_10s_vs_mcts_nn_20s,1/2-1/2,70,draw_3fold_claim,482.3348,826.715,13.781,23.6204
metrics_mcts_nn_10s_vs_mcts_nn_20s_g2_orig.jsonl,mcts_nn_10s_vs_mcts_nn_20s,1/2-1/2,170,draw_3fold_claim,1294.4547,2096.9661,15.2289,24.6702
metrics_mcts_nn_10s_vs_mcts_nn_20s_g30_swap.jsonl,mcts_nn_10s_vs_mcts_nn_20s,1/2-1/2,138,draw_3fold_claim,893.2344,1564.3966,12.9454,22.6724
metrics_mcts_nn_10s_vs_mcts_nn_20s_g3_orig.jsonl,mcts_nn_10s_vs_mcts_nn_20s,1/2-1/2,147,draw_insufficient,1136.9461,1893.6444,15.3641,25.9403
metrics_mcts_nn_10s_vs_mcts_nn_20s_g4_orig.jsonl,mcts_nn_10s_vs_mcts_nn_20s,1/2-1/2,70,draw_3fold_claim,480.2181,829.9526,13.7205,23.7129
metrics_mcts_nn_10s_vs_mcts_nn_20s_g5_orig.jsonl,mcts_nn_10s_vs_mcts_nn_20s,1/2-1/2,141,draw_3fold_claim,938.8583,1662.0867,13.2234,23.7441
metrics_mcts_nn_10s_vs_mcts_nn_20s_g6_orig.jsonl,mcts_nn_10s_vs_mcts_nn_20s,1/2-1/2,113,draw_3fold_claim,730.4665,1305.4715,12.8152,23.312
metrics_mcts_nn_10s_vs_mcts_nn_20s_g7_orig.jsonl,mcts_nn_10s_vs_mcts_nn_20s,1/2-1/2,151,draw_3fold_claim,933.1622,1690.3885,12.2785,22.5385
metrics_mcts_nn_10s_vs_mcts_nn_20s_g8_orig.jsonl,mcts_nn_10s_vs_mcts_nn_20s,1/2-1/2,88,draw_insufficient,568.859,1005.4393,12.9286,22.8509
metrics_mcts_nn_10s_vs_mcts_nn_20s_g9_orig.jsonl,mcts_nn_10s_vs_mcts_nn_20s,1/2-1/2,140,draw_3fold_claim,903.9859,1653.0668,12.9141,23.6152
metrics_mcts_nn_1s_vs_mcts_nn_20s_g10_orig.jsonl,mcts_nn_1s_vs_mcts_nn_20s,1-0,71,checkmate,328.262,831.0112,9.1184,23.7432
metrics_mcts_nn_1s_vs_mcts_nn_20s_g11_orig.jsonl,mcts_nn_1s_vs_mcts_nn_20s,1/2-1/2,129,draw_3fold_claim,913.4187,1595.3263,14.0526,24.927
metrics_mcts_nn_1s_vs_mcts_nn_20s_g12_orig.jsonl,mcts_nn_1s_vs_mcts_nn_20s,1/2-1/2,167,draw_insufficient,1100.7112,2211.5978,13.1037,26.6458
metrics_mcts_nn_1s_vs_mcts_nn_20s_g13_orig.jsonl,mcts_nn_1s_vs_mcts_nn_20s,1/2-1/2,167,draw_insufficient,912.3942,2058.4229,10.8618,24.8003
metrics_mcts_nn_1s_vs_mcts_nn_20s_g14_orig.jsonl,mcts_nn_1s_vs_mcts_nn_20s,1/2-1/2,39,draw_3fold_claim,130.2661,457.1779,6.5133,24.062
metrics_mcts_nn_1s_vs_mcts_nn_20s_g15_orig.jsonl,mcts_nn_1s_vs_mcts_nn_20s,1/2-1/2,177,draw_3fold_claim,508.5857,1959.0893,5.7144,22.2624
metrics_mcts_nn_1s_vs_mcts_nn_20s_g16_swap.jsonl,mcts_nn_1s_vs_mcts_nn_20s,1/2-1/2,124,draw_3fold_claim,458.961,1472.3214,7.4026,23.7471
metrics_mcts_nn_1s_vs_mcts_nn_20s_g17_swap.jsonl,mcts_nn_1s_vs_mcts_nn_20s,1/2-1/2,68,draw_insufficient,191.8346,765.3644,5.6422,22.5107
metrics_mcts_nn_1s_vs_mcts_nn_20s_g18_swap.jsonl,mcts_nn_1s_vs_mcts_nn_20s,0-1,42,checkmate,158.7542,492.995,7.5597,23.476
metrics_mcts_nn_1s_vs_mcts_nn_20s_g19_swap.jsonl,mcts_nn_1s_vs_mcts_nn_20s,1/2-1/2,120,draw_insufficient,503.3254,1447.911,8.3888,24.1318
metrics_mcts_nn_1s_vs_mcts_nn_20s_g1_orig.jsonl,mcts_nn_1s_vs_mcts_nn_20s,1-0,53,checkmate,297.4285,591.5849,11.0159,22.7533
metrics_mcts_nn_1s_vs_mcts_nn_20s_g20_swap.jsonl,mcts_nn_1s_vs_mcts_nn_20s,0-1,52,checkmate,383.7304,652.8503,14.7589,25.1096
metrics_mcts_nn_1s_vs_mcts_nn_20s_g21_swap.jsonl,mcts_nn_1s_vs_mcts_nn_20s,1-0,49,checkmate,345.0341,630.2705,13.8014,26.2613
metrics_mcts_nn_1s_vs_mcts_nn_20s_g22_swap.jsonl,mcts_nn_1s_vs_mcts_nn_20s,1/2-1/2,154,draw_3fold_claim,466.3392,1696.5791,6.0564,22.0335
metrics_mcts_nn_1s_vs_mcts_nn_20s_g23_swap.jsonl,mcts_nn_1s_vs_mcts_nn_20s,1/2-1/2,92,draw_3fold_claim,383.2259,1100.7077,8.331,23.9284
metrics_mcts_nn_1s_vs_mcts_nn_20s_g24_swap.jsonl,mcts_nn_1s_vs_mcts_nn_20s,1/2-1/2,64,draw_3fold_claim,317.3761,831.7159,9.918,25.9911
metrics_mcts_nn_1s_vs_mcts_nn_20s_g25_swap.jsonl,mcts_nn_1s_vs_mcts_nn_20s,0-1,116,checkmate,461.1236,1320.843,7.9504,22.7732
metrics_mcts_nn_1s_vs_mcts_nn_20s_g26_swap.jsonl,mcts_nn_1s_vs_mcts_nn_20s,1-0,53,checkmate,309.6229,608.3143,11.4675,23.3967
metrics_mcts_nn_1s_vs_mcts_nn_20s_g27_swap.jsonl,mcts_nn_1s_vs_mcts_nn_20s,1/2-1/2,79,draw_3fold_claim,646.109,1057.0415,16.1527,27.1036
metrics_mcts_nn_1s_vs_mcts_nn_20s_g28_swap.jsonl,mcts_nn_1s_vs_mcts_nn_20s,1/2-1/2,80,draw_3fold_claim,421.2952,946.3372,10.5324,23.6584
metrics_mcts_nn_1s_vs_mcts_nn_20s_g29_swap.jsonl,mcts_nn_1s_vs_mcts_nn_20s,1/2-1/2,123,draw_3fold_claim,655.4596,1576.9908,10.5719,25.8523
metrics_mcts_nn_1s_vs_mcts_nn_20s_g2_orig.jsonl,mcts_nn_1s_vs_mcts_nn_20s,1/2-1/2,139,draw_3fold_claim,436.9286,1582.354,6.2418,22.9327
metrics_mcts_nn_1s_vs_mcts_nn_20s_g30_swap.jsonl,mcts_nn_1s_vs_mcts_nn_20s,0-1,74,checkmate,526.1287,933.7144,14.2197,25.2355
metrics_mcts_nn_1s_vs_mcts_nn_20s_g3_orig.jsonl,mcts_nn_1s_vs_mcts_nn_20s,1/2-1/2,163,draw_3fold_claim,614.4618,1850.6324,7.4934,22.8473
metrics_mcts_nn_1s_vs_mcts_nn_20s_g4_orig.jsonl,mcts_nn_1s_vs_mcts_nn_20s,1/2-1/2,156,draw_3fold_claim,594.937,1861.1204,7.6274,23.8605
metrics_mcts_nn_1s_vs_mcts_nn_20s_g5_orig.jsonl,mcts_nn_1s_vs_mcts_nn_20s,0-1,76,checkmate,320.9671,909.1169,8.4465,23.9241
metrics_mcts_nn_1s_vs_mcts_nn_20s_g6_orig.jsonl,mcts_nn_1s_vs_mcts_nn_20s,1/2-1/2,115,draw_3fold_claim,299.0755,1289.6431,5.1565,22.6253
metrics_mcts_nn_1s_vs_mcts_nn_20s_g7_orig.jsonl,mcts_nn_1s_vs_mcts_nn_20s,0-1,70,checkmate,308.0011,841.4869,8.8,24.0425
metrics_mcts_nn_1s_vs_mcts_nn_20s_g8_orig.jsonl,mcts_nn_1s_vs_mcts_nn_20s,1/2-1/2,124,draw_3fold_claim,247.5806,1332.6531,3.9932,21.4944
metrics_mcts_nn_1s_vs_mcts_nn_20s_g9_orig.jsonl,mcts_nn_1s_vs_mcts_nn_20s,1/2-1/2,106,draw_3fold_claim,362.5531,1192.2757,6.8406,22.4958
metrics_mcts_nn_20s_vs_mcts_nn_20s_g10_orig.jsonl,mcts_nn_20s_vs_mcts_nn_20s,1/2-1/2,72,draw_insufficient,858.5597,866.9896,23.8489,24.083
metrics_mcts_nn_20s_vs_mcts_nn_20s_g11_orig.jsonl,mcts_nn_20s_vs_mcts_nn_20s,1/2-1/2,130,draw_3fold_claim,1560.1667,1585.3352,24.0026,24.3898
metrics_mcts_nn_20s_vs_mcts_nn_20s_g12_orig.jsonl,mcts_nn_20s_vs_mcts_nn_20s,1/2-1/2,112,draw_insufficient,1429.5105,1428.7296,25.527,25.513
metrics_mcts_nn_20s_vs_mcts_nn_20s_g13_orig.jsonl,mcts_nn_20s_vs_mcts_nn_20s,1/2-1/2,165,draw_3fold_claim,2176.3396,2102.383,26.221,25.6388
