player,elo,games
mcts_trad_40s,131.9,30
mcts_nn_40s,64.8,30
mcts_trad_20s,51.5,150
mcts_nn_20s,18.7,150
mcts_nn_5s,18.7,30
mcts_nn_1s,-4.3,30
mcts_nn_10s,-15.8,30
mcts_trad_10s,-19.3,30
mcts_trad_5s,-94.7,30
mcts_trad_1s,-151.4,30
