Result: Draw by threefold repetition

1: e2e4
2: b7b5
3: a2a4
4: b5b4
5: f1c4
6: b4c3
7: f3g5
8: e7e6
9: b2c3
10: h7h6
11: e1g1
12: d8a5
13: g5f7
14: e8f7
15: d1d3
16: f6e4
17: c1b2
18: e4d6
19: c4b3
20: a5f5
21: d3f5
22: d6f5
23: f1e1
24: f8e7
25: a4a5
26: f5h4
27: e1e4
28: h8e8
29: a1e1
30: b8a6
31: e4f4
32: e7f6
33: f4h4
34: f6h4
35: b3a4
36: c8d7
37: a4c6
38: d7c6
39: e1e6
40: f7e6
41: d4d5
42: c6d5
43: c3c4
44: h4f2
45: g1f2
46: d5c4
47: b2g7
48: e8f8
49: g7f8
50: a8f8
51: f2e3
52: f8g8
53: e3d4
54: g8g2
55: d4c4
56: g2h2
57: c4b5
58: a6b8
59: b5b4
60: h2h5
61: b4a4
62: b8c6
63: a5a6
64: h5a5
65: a4b3
66: e6d5
67: b3b2
68: a5a6
69: b2b1
70: a6b6
71: b1a2
72: b6a6
73: a2b3
74: c6d4
75: b3b4
76: d4c6
77: b4b3
78: c6d4
79: b3b4
80: d4c6
