Result: Draw by threefold repetition

1: d2d3
2: e4f6
3: b1c3
4: b8c6
5: d3d4
6: d6d5
7: f1b5
8: c8g4
9: e1g1
10: d8d6
11: f1e1
12: f8e7
13: d1e2
14: g4f3
15: e2f3
16: e8g8
17: f3d3
18: f8e8
19: c1d2
20: g7g6
21: d3h3
22: c6d4
23: b5e8
24: a8e8
25: h3d3
26: d4f5
27: d2g5
28: e8d8
29: a1d1
30: c7c6
31: a2a3
32: h7h6
33: g5f6
34: d6f6
35: g2g4
36: f5h4
37: g1h1
38: d5d4
39: c3e4
40: f6f3
41: d3f3
42: h4f3
43: e1e2
44: f3e5
45: e4c5
46: e5g4
47: c5b7
48: d8d7
49: b7a5
50: c6c5
51: d1e1
52: e7h4
53: h1g1
54: h4f2
55: e2f2
56: g4f2
57: g1f2
58: f7f5
59: e1e8
60: g8f7
61: e8c8
62: f7e6
63: c8c5
64: a7a6
65: c5c6
66: d7d6
67: f2g3
68: g6g5
69: g3f3
70: e6d5
71: c6d6
72: d5d6
73: a5b7
74: d6d5
75: b7d8
76: d5d6
77: d8f7
78: d6e6
79: f7h6
80: e6f6
81: f3e2
82: f6g6
83: h6g8
84: g6f7
85: g8h6
86: f7g6
87: h6g8
88: g6f7
89: g8h6
