Result: Draw by threefold repetition

1: e2e4
2: b7b5
3: f1e2
4: b5b4
5: c3a4
6: e7e6
7: c1g5
8: c8a6
9: e1g1
10: d8a5
11: a4c5
12: f8c5
13: d4c5
14: a5c5
15: a2a3
16: b4b3
17: a1c1
18: h8g8
19: g5f6
20: g7f6
21: f3d2
22: c5g5
23: g2g3
24: g5g3
25: f2g3
26: g8g3
27: h2g3
28: c4c3
29: e2a6
30: c3b2
31: c1c6
32: b2b1q
33: d2b1
34: b8c6
35: d1b3
36: a8b8
37: b3b8
38: c6b8
39: a6b5
40: e8e7
41: f1f6
42: e7f6
43: e4e5
44: f6e5
45: g1f2
46: e5d5
47: b1c3
48: d5d4
49: c3e2
50: d4e4
51: e2c3
52: e4d4
53: c3e2
54: d4e4
55: e2c3
