Result: Draw by threefold repetition

1: d2d3
2: e7e6
3: b1d2
4: b8d7
5: f3h4
6: f5g6
7: h4g6
8: h7g6
9: b2f6
10: d7f6
11: c4d5
12: c6d5
13: e2e4
14: f8d6
15: g2g3
16: d5e4
17: d3e4
18: d6e5
19: f1b5
20: e8f8
21: a1c1
22: a7a6
23: b5a6
24: a8a6
25: f2f4
26: e5b2
27: c1c2
28: a6a2
29: d1b1
30: a2a1
31: c2b2
32: a1b1
33: b2b1
34: f6g4
35: d2f1
36: g4f6
37: e4e5
38: d8d5
39: e5f6
40: d5h1
41: b1d1
42: h1e4
43: e1f2
44: e4c2
45: d1d2
46: c2c5
47: f2e2
48: c5b6
49: d2a2
50: g7f6
51: a2a8
52: f8g7
53: a8h8
54: g7h8
55: f1d2
56: e6e5
57: f4e5
58: b6a6
59: e2f3
60: a6d3
61: f3g2
62: d3d2
63: g2h3
64: f6e5
65: g3g4
66: d2a5
67: h3h4
68: f7f6
69: g4g5
70: f6g5
71: h4g5
72: a5d8
73: g5g6
74: d8g8
75: g6f6
76: g8b3
77: f6e5
78: b3b2
79: e5e6
80: b2g2
81: h2h3
82: h8g8
83: e6f5
84: g2h3
85: f5f6
86: h3d7
87: f6e5
88: d7e7
89: e5d5
90: e7d7
91: d5c5
92: d7e7
93: c5b6
94: e7e3
95: b6b7
96: e3e4
97: b7b8
98: e4e5
99: b8a8
100: e5e4
101: a8b8
102: e4e5
103: b8a8
104: e5e4
