label,games,white_wins,draws,black_wins,white_score,avg_moves,avg_time_white,avg_time_black
mcts_nn_10s_vs_mcts_nn_20s,30.0,0.0,27.0,3.0,0.45,112.3,13.904,24.007
mcts_nn_1s_vs_mcts_nn_20s,30.0,4.0,20.0,6.0,0.467,101.4,9.258,23.954
mcts_nn_20s_vs_mcts_nn_20s,30.0,3.0,27.0,0.0,0.55,101.1,24.731,24.807
mcts_nn_40s_vs_mcts_nn_20s,30.0,5.0,24.0,1.0,0.567,100.6,43.027,23.637
mcts_nn_5s_vs_mcts_nn_20s,30.0,3.0,24.0,3.0,0.5,110.1,10.044,24.018
mcts_trad_10s_vs_mcts_trad_20s,30.0,1.0,22.0,7.0,0.4,88.1,9.949,19.701
mcts_trad_1s_vs_mcts_trad_20s,30.0,0.0,14.0,16.0,0.233,76.6,1.063,19.177
mcts_trad_20s_vs_mcts_trad_20s,30.0,1.0,26.0,3.0,0.467,93.6,19.88,19.87
mcts_trad_40s_vs_mcts_trad_20s,30.0,7.0,23.0,0.0,0.617,88.6,39.411,19.911
mcts_trad_5s_vs_mcts_trad_20s,30.0,0.0,18.0,12.0,0.3,77.4,4.984,19.325
