Result: Draw by threefold repetition

1: d2d4
2: e5d4
3: e4e5
4: f6e4
5: d1e2
6: e4c3
7: b2c3
8: e8g8
9: c1g5
10: d8e8
11: e2e4
12: d7d6
13: c3d4
14: c6d4
15: b1d2
16: c8f5
17: e4b7
18: d4c2
19: e1e2
20: c2a1
21: h1a1
22: h7h6
23: g5f4
24: g7g5
25: f4g3
26: e8d7
27: d2e4
28: d7a4
29: c4d5
30: a8d8
31: e4c5
32: a4c2
33: e2f1
34: d6c5
35: d5b3
36: c2c3
37: a1e1
38: c5c4
39: b3d1
40: g5g4
41: f3g1
42: c3d4
43: d1e2
44: d8d7
45: b7a6
46: f5e6
47: h2h3
48: h6h5
49: h3g4
50: h5g4
51: f2f3
52: f8e8
53: g3f2
54: d4c3
55: f3g4
56: c3b4
57: a2a3
58: b4b2
59: e2c4
60: d7d2
61: f2a7
62: b2c2
63: c4e6
64: e8e6
65: a6c8
66: g8g7
67: c8b7
68: c2c4
69: g1e2
70: e6e5
71: b7b4
72: c4b4
73: a3b4
74: e5e4
75: f1f2
76: e4b4
77: f2e3
78: d2a2
79: a7d4
80: g7h6
81: d4e5
82: c7c5
83: e1f1
84: b4g4
85: e2c3
86: a2g2
87: f1f7
88: h6g6
89: f7c7
90: c5c4
91: e5f4
92: g6f5
93: e3f3
94: g2g1
95: c7c5
96: f5e6
97: c3e2
98: g1g2
99: e2c3
100: g4f4
101: f3f4
102: g2h2
103: f4g3
104: h2h3
105: g3h3
106: e6d7
107: c5c4
108: d7d8
109: c4d4
110: d8c8
111: d4c4
112: c8b8
113: c4b4
114: b8c8
115: b4c4
116: c8b8
117: c4b4
118: b8c8
