Result: Draw by threefold repetition

1: e2e4
2: h7h6
3: e4e5
4: d6e5
5: d4e5
6: f6d7
7: e5e6
8: d7e5
9: d1d8
10: e8d8
11: e6f7
12: c8d7
13: f7f8q
14: h8f8
15: c1h6
16: g7h6
17: e1d1
18: f8f4
19: b2b3
20: f4d4
21: d1c2
22: d7f5
23: c3e4
24: b8c6
25: c2c3
26: h6g7
27: g1h3
28: d4d7
29: c3c2
30: f5h3
31: g2h3
32: e5f3
33: a1b1
34: c6b4
35: c2c1
36: f3e1
37: e4d2
38: g7c3
39: b1b2
40: c3b2
41: c1b2
42: e7e5
43: d2e4
44: d8c8
45: a2a3
46: b4c2
47: e4d6
48: c7d6
49: h1g1
50: e1f3
51: b2c2
52: f3g1
53: c2d3
54: g1h3
55: f1h3
56: a7a5
57: h3d7
58: c8d7
59: a3a4
60: d7c6
61: d3e4
62: d6d5
63: c4d5
64: c6d6
65: e4d3
66: d6d5
67: d3c3
68: a8h8
69: h2h3
70: h8h3
71: c3b2
72: h3h8
73: b2c3
74: h8h3
75: c3b2
76: h3h8
77: b2c3
