Result: Draw by threefold repetition

1: d2d4
2: e5d4
3: c3d4
4: c5b4
5: b1d2
6: d8e7
7: e4e5
8: d7d6
9: a2a3
10: d6e5
11: a3b4
12: e5d4
13: d1e2
14: e7e2
15: c4e2
16: c6b4
17: f3d4
18: c7c5
19: a1a4
20: c8d7
21: e2b5
22: a7a5
23: b5d7
24: e8d7
25: d4b3
26: h8e8
27: e1f1
28: b4d3
29: d2f3
30: b7b5
31: a4a3
32: a5a4
33: b3c5
34: d3c5
35: a3c3
36: f6e4
37: c3c5
38: e4c5
39: f3e5
40: d7e6
41: e5f7
42: e6f7
43: b2b4
44: c5e6
45: f1e2
46: e6c7
47: e2d1
48: c7a6
49: c1d2
50: e8d8
51: d1e1
52: f7f6
53: d2c3
54: f6g5
55: c3g7
56: d8c8
57: h2h4
58: g5f4
59: g7h6
60: f4e5
61: h6g7
62: e5f4
63: g7h6
64: f4e5
65: h6g7
