Result: Draw by threefold repetition

1: e2e4
2: d5c3
3: b2c3
4: f8g7
5: g1f3
6: c7c5
7: h2h3
8: e8g8
9: f1e2
10: b8c6
11: c1e3
12: b7b6
13: a1c1
14: h7h6
15: d1d2
16: g8h7
17: e2b5
18: d8c7
19: e1g1
20: c8b7
21: e3f4
22: e7e5
23: f4g3
24: a8d8
25: d2e2
26: f7f6
27: b5c4
28: c5d4
29: c3d4
30: c7e7
31: d4d5
32: c6a5
33: c4d3
34: d8c8
35: c1d1
36: c8c3
37: f3h4
38: b7c8
39: f2f4
40: c3d3
41: e2d3
42: e5f4
43: h4g6
44: h7g6
45: g3f4
46: a5b7
47: d5d6
48: e7d7
49: f4e3
50: g6h7
51: f1f2
52: f8d8
53: f2c2
54: b7d6
55: c2c8
56: d7c8
57: e4e5
58: c8f5
59: e5d6
60: f5d3
61: d1d3
62: d8d6
63: d3d6
64: h7g6
65: d6d1
66: g6h5
67: e3b6
68: a7b6
69: g2g4
70: h5h4
71: d1d7
72: h4h3
73: d7g7
74: h6h5
75: g4h5
76: h3h4
77: g7f7
78: h4h5
79: f7f6
80: b6b5
81: f6b6
82: h5g5
83: b6b5
84: g5f6
85: b5b6
86: f6e5
87: b6b1
88: e5d5
89: b1d1
90: d5c5
91: d1f1
92: c5b6
93: f1f6
94: b6a7
95: f6f7
96: a7a8
97: f7f8
98: a8a7
99: f8f7
100: a7b8
101: f7f8
102: b8a7
