Result: Draw by threefold repetition

1: e2e4
2: d5c3
3: b2c3
4: b8d7
5: g1f3
6: h7h6
7: e4e5
8: d7b6
9: a2a4
10: c8e6
11: h2h3
12: a7a5
13: c1b2
14: b6c4
15: a1b1
16: f8g7
17: b2c1
18: a8a7
19: c1f4
20: d8d5
21: f3d2
22: c4d2
23: f4d2
24: e8g8
25: d1c1
26: g8h7
27: b1b5
28: d5a2
29: c1b1
30: f7f6
31: e5f6
32: a2b1
33: b5b1
34: g7f6
35: f1b5
36: c7c5
37: d2e3
38: f8d8
39: b1d1
40: c5d4
41: e3d4
42: a7a8
43: e1e2
44: e6d5
45: f2f3
46: d5b3
47: d1b1
48: b3a2
49: b1b2
50: a2e6
51: b5d3
52: e6d5
53: h1b1
54: a8c8
55: b2b6
56: d5c6
57: e2e3
58: e7e5
59: d4c5
60: f6g5
61: e3e2
62: d8d7
63: c5e3
64: g5f4
65: e3f4
66: e5f4
67: d3b5
68: d7e7
69: e2f2
70: c6d5
71: c3c4
72: d5c4
73: b5c4
74: c8c4
75: b6b7
76: e7b7
77: b1b7
78: h7g8
79: b7b8
80: g8f7
81: b8b7
82: f7f6
83: b7b6
84: f6f7
85: b6b7
86: f7f6
87: b7b6
88: f6f7
