file,label,result,total_moves,termination,total_time_white,total_time_black,avg_time_white,avg_time_black
metrics_mcts_trad_vs_mcts_nn_g10_orig.jsonl,mcts_trad_vs_mcts_nn,1/2-1/2,116,draw_3fold_claim,159.3147,445.6695,2.7468,7.684
metrics_mcts_trad_vs_mcts_nn_g11_orig.jsonl,mcts_trad_vs_mcts_nn,0-1,76,checkmate,99.9931,243.144,2.6314,6.3985
metrics_mcts_trad_vs_mcts_nn_g12_orig.jsonl,mcts_trad_vs_mcts_nn,1/2-1/2,85,draw_3fold_claim,119.1657,329.2468,2.7713,7.8392
metrics_mcts_trad_vs_mcts_nn_g13_orig.jsonl,mcts_trad_vs_mcts_nn,1/2-1/2,122,draw_3fold_claim,167.2117,578.2851,2.7412,9.4801
metrics_mcts_trad_vs_mcts_nn_g14_orig.jsonl,mcts_trad_vs_mcts_nn,1/2-1/2,151,draw_3fold_claim,208.4999,638.5713,2.7434,8.5143
metrics_mcts_trad_vs_mcts_nn_g15_orig.jsonl,mcts_trad_vs_mcts_nn,1/2-1/2,64,draw_3fold_claim,87.8179,231.7407,2.7443,7.2419
metrics_mcts_trad_vs_mcts_nn_g16_swap.jsonl,mcts_trad_vs_mcts_nn,1/2-1/2,140,draw_3fold_claim,439.8258,193.3974,6.2832,2.7628
metrics_mcts_trad_vs_mcts_nn_g17_swap.jsonl,mcts_trad_vs_mcts_nn,1/2-1/2,101,draw_3fold_claim,453.1254,137.453,8.8848,2.7491
metrics_mcts_trad_vs_mcts_nn_g18_swap.jsonl,mcts_trad_vs_mcts_nn,1/2-1/2,70,draw_3fold_claim,266.2927,96.5796,7.6084,2.7594
metrics_mcts_trad_vs_mcts_nn_g19_swap.jsonl,mcts_trad_vs_mcts_nn,1/2-1/2,85,draw_3fold_claim,305.1379,116.2327,7.0962,2.7674
metrics_mcts_trad_vs_mcts_nn_g1_orig.jsonl,mcts_trad_vs_mcts_nn,1/2-1/2,114,draw_3fold_claim,158.1476,397.6025,2.7745,6.9755
metrics_mcts_trad_vs_mcts_nn_g20_swap.jsonl,mcts_trad_vs_mcts_nn,1/2-1/2,138,draw_3fold_claim,605.1583,190.5339,8.7704,2.7614
metrics_mcts_trad_vs_mcts_nn_g21_swap.jsonl,mcts_trad_vs_mcts_nn,1-0,69,checkmate,293.5106,91.5866,8.386,2.6937
metrics_mcts_trad_vs_mcts_nn_g22_swap.jsonl,mcts_trad_vs_mcts_nn,0-1,172,checkmate,724.82,232.5762,8.4281,2.7044
metrics_mcts_trad_vs_mcts_nn_g23_swap.jsonl,mcts_trad_vs_mcts_nn,1/2-1/2,157,draw_3fold_claim,639.1833,214.5403,8.0909,2.7505
metrics_mcts_trad_vs_mcts_nn_g24_swap.jsonl,mcts_trad_vs_mcts_nn,1/2-1/2,41,draw_3fold_claim,241.7982,57.7741,11.5142,2.8887
metrics_mcts_trad_vs_mcts_nn_g25_swap.jsonl,mcts_trad_vs_mcts_nn,1/2-1/2,212,draw_3fold_claim,815.8882,290.6038,7.6971,2.7415
metrics_mcts_trad_vs_mcts_nn_g26_swap.jsonl,mcts_trad_vs_mcts_nn,1/2-1/2,40,draw_3fold_claim,185.9692,56.5373,9.2985,2.8269
metrics_mcts_trad_vs_mcts_nn_g27_swap.jsonl,mcts_trad_vs_mcts_nn,1/2-1/2,134,draw_3fold_claim,579.0441,185.1106,8.6424,2.7628
metrics_mcts_trad_vs_mcts_nn_g28_swap.jsonl,mcts_trad_vs_mcts_nn,1/2-1/2,137,draw_3fold_claim,426.9622,186.943,6.1879,2.7492
metrics_mcts_trad_vs_mcts_nn_g29_swap.jsonl,mcts_trad_vs_mcts_nn,1-0,37,checkmate,143.0888,47.6153,7.531,2.6453
metrics_mcts_trad_vs_mcts_nn_g2_orig.jsonl,mcts_trad_vs_mcts_nn,1/2-1/2,116,draw_3fold_claim,158.7872,462.3986,2.7377,7.9724
metrics_mcts_trad_vs_mcts_nn_g30_swap.jsonl,mcts_trad_vs_mcts_nn,1/2-1/2,76,draw_3fold_claim,200.8248,104.6762,5.2849,2.7546
metrics_mcts_trad_vs_mcts_nn_g3_orig.jsonl,mcts_trad_vs_mcts_nn,0-1,124,checkmate,158.4851,442.3639,2.5562,7.1349
metrics_mcts_trad_vs_mcts_nn_g4_orig.jsonl,mcts_trad_vs_mcts_nn,1/2-1/2,83,draw_3fold_claim,115.2604,526.1117,2.7443,12.832
metrics_mcts_trad_vs_mcts_nn_g5_orig.jsonl,mcts_trad_vs_mcts_nn,1/2-1/2,91,draw_3fold_claim,126.3329,255.6195,2.7464,5.6804
metrics_mcts_trad_vs_mcts_nn_g6_orig.jsonl,mcts_trad_vs_mcts_nn,1/2-1/2,70,draw_3fold_claim,98.2022,314.7448,2.8058,8.9927
metrics_mcts_trad_vs_mcts_nn_g7_orig.jsonl,mcts_trad_vs_mcts_nn,1/2-1/2,128,draw_3fold_claim,175.9565,705.9669,2.7493,11.0307
