label,variant_a,variant_b,games,a_wins,draws,b_wins,a_score,decisive,a_win_rate_decisive,p_value,lower_ci,upper_ci,note
mcts_trad_vs_mcts_nn,mcts_trad,mcts_nn,30,1,25,4,0.45,5,0.2,0.375,0.005,0.716,binomial test on decisive games
minimax_nn_vs_mcts_nn,minimax_nn,mcts_nn,30,12,18,0,0.7,12,1.0,0.0005,0.735,1.0,binomial test on decisive games
minimax_nn_vs_mcts_trad,minimax_nn,mcts_trad,30,20,10,0,0.833,20,1.0,0.0,0.832,1.0,binomial test on decisive games
minimax_trad_vs_mcts_nn,minimax_trad,mcts_nn,30,4,26,0,0.567,4,1.0,0.125,0.398,1.0,binomial test on decisive games
minimax_trad_vs_mcts_trad,minimax_trad,mcts_trad,30,5,23,2,0.55,7,0.714,0.4531,0.29,0.963,binomial test on decisive games
minimax_trad_vs_minimax_nn,minimax_trad,minimax_nn,30,2,5,23,0.15,25,0.08,0.0,0.01,0.26,binomial test on decisive games
