axis,MINIMAX_wins,draws,MCTS_wins,total_games,MINIMAX_score,pairs_used,TRAD_wins,NN_wins,TRAD_score
algorithm,41.0,77,2.0,120,0.662,minimax_nn_vs_mcts_nn; minimax_nn_vs_mcts_trad; minimax_trad_vs_mcts_nn; minimax_trad_vs_mcts_trad,,,
evaluator,,66,,120,,mcts_trad_vs_mcts_nn; minimax_nn_vs_mcts_trad; minimax_trad_vs_mcts_nn; minimax_trad_vs_minimax_nn,7.0,47.0,0.333
