label,games,white_wins,draws,black_wins,white_score,avg_moves,avg_time_white,avg_time_black
mcts_trad_vs_mcts_nn,30.0,2.0,25.0,3.0,0.483,103.3,5.359,5.571
minimax_nn_vs_mcts_nn,30.0,6.0,18.0,6.0,0.5,86.2,12.339,11.676
minimax_nn_vs_mcts_trad,30.0,9.0,10.0,11.0,0.467,69.7,8.543,8.017
minimax_trad_vs_mcts_nn,30.0,3.0,26.0,1.0,0.533,110.7,3.826,4.197
minimax_trad_vs_mcts_trad,30.0,4.0,23.0,3.0,0.517,98.1,1.516,1.456
minimax_trad_vs_minimax_nn,30.0,10.0,5.0,15.0,0.417,79.7,6.268,5.84
