Result: Black wins by checkmate

1: d2d3
2: f8c5
3: a4c6
4: b7c6
5: f3e5
6: d7d5
7: e5c6
8: d8d7
9: e4d5
10: e8g8
11: c2c4
12: f6d5
13: e1g1
14: d7c6
15: d3d4
16: d5b4
17: a2a3
18: c5d4
19: a3b4
20: c8b7
21: d1f3
22: c6f3
23: g2f3
24: f8e8
25: g1g2
26: a8d8
27: f1d1
28: h7h6
29: a1a3
30: d4f6
31: d1d2
32: e8e1
33: d2d8
34: f6d8
35: c1h6
36: g7h6
37: a3a6
38: b7a6
39: b1a3
40: d8g5
41: b4b5
42: a6b7
43: a3c2
44: e1c1
45: c2a3
46: g5e7
47: h2h3
48: g8f8
49: b5b6
50: e7a3
51: b6c7
52: a3d6
53: c7c8q
54: b7c8
55: b2b3
56: d6f4
57: h3h4
58: f8e7
59: h4h5
60: c8e6
61: c4c5
62: c1c5
63: b3b4
64: c5g5
65: g2h1
66: e6d5
67: b4b5
68: d5f3
