Result: Black wins by checkmate

1: d2d3
2: e4f6
3: d1e2
4: f8e7
5: b1c3
6: e8g8
7: e2e7
8: d8e7
9: e1d2
10: f8e8
11: h2h4
12: c8g4
13: f1e2
14: b8a6
15: a2a4
16: h7h6
17: a1a2
18: g4e6
19: b2b3
20: a6b4
21: a2a3
22: b4d5
23: c3d5
24: e6d5
25: e2d1
26: d5f3
27: d1f3
28: a7a5
29: f3b7
30: a8b8
31: b7f3
32: d6d5
33: f3d5
34: e7e2
35: d2c3
36: f6d5
37: c3b2
38: e2h5
39: c1h6
40: h5h6
41: f2f3
42: d5f6
43: b2a1
44: c7c6
45: c2c4
46: b8d8
47: d3d4
48: d8d7
49: g2g3
50: d7d4
51: c4c5
52: d4d3
53: h1f1
54: d3d8
55: f3f4
56: f6g4
57: f1h1
58: h6f6
59: a1a2
60: e8e2
61: a2b1
62: f6b2
