Result: Black wins by checkmate

1: d2d4
2: e5d4
3: c3d4
4: c5b4
5: b1d2
6: f6e4
7: e1g1
8: d7d5
9: f1e1
10: e8g8
11: c4d3
12: c8g4
13: d3e4
14: d5e4
15: e1e4
16: f7f5
17: e4f4
18: b4d6
19: d2b3
20: d6f4
21: c1f4
22: d8d5
23: f4c7
24: f8e8
25: a1c1
26: b7b6
27: c7f4
28: a8c8
29: c1c3
30: c6b4
31: c3c8
32: e8c8
33: a2a3
34: b4c2
35: d1d3
36: g4f3
37: d3f3
38: d5f3
39: g2f3
40: c2e1
41: f4d2
42: e1f3
43: g1g2
44: f3d2
45: b3d2
46: c8c2
47: d2c4
48: c2c4
49: b2b3
50: c4d4
51: g2f3
52: d4d8
53: f3e3
54: h7h5
55: h2h3
56: g7g6
57: h3h4
58: g8f8
59: f2f4
60: d8c8
61: e3d4
62: f8g8
63: b3b4
64: a7a6
65: d4d5
66: b6b5
67: d5e5
68: c8b8
69: e5d6
70: b8f8
71: d6e7
72: g8g7
73: e7d6
74: g7f7
75: d6c7
76: f7g7
77: c7b7
78: g7f6
79: b7a6
80: f6e7
81: a6b5
82: g6g5
83: h4g5
84: f8a8
85: a3a4
86: h5h4
87: a4a5
88: h4h3
89: b5b6
90: h3h2
91: b6b7
92: h2h1q
93: b7c7
94: h1d5
95: c7b6
96: a8b8
97: b6c7
98: d5d6
