Result: White wins by checkmate

1: d2d3
2: e4f6
3: d3d4
4: h7h6
5: f1b5
6: b8c6
7: d4d5
8: d8e7
9: b5e2
10: c6b8
11: e1g1
12: e7d8
13: c2c4
14: b8d7
15: f3d4
16: f8e7
17: c1e3
18: f6e4
19: d1d3
20: e4f6
21: d4b5
22: a7a6
23: b5a7
24: d7e5
25: d3b3
26: c8g4
27: f2f3
28: g4d7
29: f3f4
30: e5g4
31: e3d4
32: e8g8
33: h2h3
34: f8e8
35: b3b7
36: c7c5
37: d5c6
38: a8b8
39: b7a6
40: b8a8
41: a6b5
42: e7f8
43: b1c3
44: a8a7
45: d4a7
46: d8a8
47: b5b7
48: a8d8
49: c6c7
50: d8c7
51: b7c7
52: g4e3
53: f1e1
54: e3g2
55: g1g2
56: h6h5
57: e2f3
58: h5h4
59: c3e4
60: e8e4
61: f3e4
62: d6d5
63: e4d5
64: d7h3
65: g2h3
66: f8e7
67: c7e7
68: g8h7
69: e1e5
70: h7h6
71: e7f7
72: g7g6
73: f7f8
74: h6h7
75: e5e7
