Result: Black wins by checkmate

1: d2d3
2: e4f6
3: d1e2
4: d8e7
5: e2e7
6: f8e7
7: b1c3
8: c8e6
9: c1g5
10: b8c6
11: g5f6
12: g7f6
13: c3b5
14: e8d8
15: b5d4
16: c6d4
17: f3d4
18: f6f5
19: d4e6
20: f7e6
21: d3d4
22: h8g8
23: e1d2
24: d6d5
25: a1e1
26: e7g5
27: d2c3
28: d8d7
29: h2h4
30: g5d8
31: e1e3
32: g8g4
33: e3g3
34: g4g3
35: f2g3
36: d8f6
37: f1b5
38: d7d6
39: b5e2
40: c7c5
41: b2b3
42: a8g8
43: h1h3
44: g8g7
45: e2d1
46: f6d4
47: c3d3
48: e6e5
49: c2c3
50: e5e4
51: d3e2
52: d4f6
53: e2f2
54: f6c3
55: d1f3
56: c3d4
57: f2e1
58: d4e5
59: f3e4
60: f5e4
61: e1f2
62: g7f7
63: f2e3
64: e5d4
65: e3d2
66: f7f2
67: d2e1
68: e4e3
69: h3h2
70: d4c3
71: e1d1
72: e3e2
73: d1c2
74: c3b4
75: c2d3
76: e2e1q
77: h2h1
78: e1e4
