Result: Black wins by checkmate

1: d2d3
2: e4f6
3: d1e2
4: d8e7
5: e2e7
6: f8e7
7: b1c3
8: b8a6
9: d3d4
10: c8f5
11: f1a6
12: b7a6
13: e1d1
14: e8d7
15: h1e1
16: a8b8
17: f3h4
18: f5e6
19: h4f3
20: h8e8
21: f3g5
22: f6d5
23: g5e6
24: f7e6
25: c3d5
26: e6d5
27: a2a4
28: e8f8
29: d1e2
30: e7f6
31: e2d3
32: c7c5
33: c2c3
34: c5d4
35: c3d4
36: f6h4
37: g2g3
38: f8f2
39: e1e2
40: f2e2
41: d3e2
42: h4f6
43: e2d3
44: b8b4
45: c1e3
46: b4b2
47: d3c3
48: b2g2
49: c3d3
50: h7h5
51: a1g1
52: g2h2
53: g3g4
54: h5g4
55: g1g3
56: h2a2
57: e3d2
58: a2a3
59: d2c3
60: d7e6
61: g3g4
62: a6a5
63: g4g2
64: g7g5
65: g2b2
66: g5g4
67: b2b5
68: g4g3
69: b5b1
70: a3a2
71: b1g1
72: f6h4
73: c3a5
74: a2a3
75: a5c3
76: a3a2
77: g1h1
78: g3g2
79: h1h4
80: g2g1q
81: h4h6
82: e6f5
83: h6h5
84: f5g4
85: h5g5
86: g4g5
87: c3d2
88: g5h5
89: d2f4
90: g1f1
91: d3e3
92: f1e1
93: e3d3
94: e1f2
95: d3c3
96: f2f3
97: f4e3
98: f3e4
99: c3b3
100: e4c2
101: b3b4
102: a2a4
103: b4b5
104: a7a6
105: b5b6
106: a4b4
107: b6a7
108: c2h7
109: a7a6
110: h7b7
111: a6a5
112: b7b6
