Result: Black wins by checkmate

1: d2d3
2: d7d6
3: b1d2
4: a7a5
5: e1g1
6: h7h6
7: f1e1
8: f6g4
9: e1e2
10: g4f6
11: d2f1
12: c5b6
13: c4b5
14: e8g8
15: h2h3
16: c8d7
17: b5a4
18: g8h8
19: f1g3
20: c6e7
21: a4c2
22: c7c5
23: c1e3
24: f8e8
25: e2d2
26: e7g6
27: c2b3
28: e8e7
29: f3h2
30: d8c8
31: a2a4
32: d7e6
33: b3c4
34: d6d5
35: e4d5
36: f6d5
37: d1h5
38: d5f6
39: h5d1
40: c8c7
41: h2f3
42: a8d8
43: d1b3
44: b6a7
45: b3a2
46: f6d5
47: a1e1
48: e7d7
49: d2e2
50: a7b8
51: e3d2
52: c7b6
53: a2b1
54: f7f6
55: c4b5
56: d7e7
57: d3d4
58: d5f4
59: d4e5
60: f6e5
61: d2f4
62: g6f4
63: e2e5
64: b8e5
65: f3e5
66: e6g8
67: e5f7
68: e7f7
69: g1h2
70: d8f8
71: g3h1
72: b6f6
73: h2g3
74: f6g5
75: g3f3
76: f4g2
77: f3e2
78: f7f2
79: h1f2
80: g5e3
81: e2d1
82: g8b3
83: b1c2
84: f8d8
85: b5d3
86: e3e1
