Result: White wins by checkmate

1: e2e3
2: h7h6
3: g5f6
4: e7f6
5: g1f3
6: b8c6
7: f1e2
8: e8f8
9: h2h4
10: d8d6
11: a2a3
12: d5c4
13: f3d2
14: d6d8
15: a1c1
16: f6h4
17: d2c4
18: d8f6
19: e2f3
20: c8d7
21: b2b4
22: h6h5
23: c3e4
24: f6e7
25: c4d2
26: e6e5
27: e4c5
28: h4f6
29: d4d5
30: c6b4
31: a3b4
32: g7g6
33: d2e4
34: f6g7
35: d1d2
36: d7c8
37: d5d6
38: c7d6
39: e4d6
40: e7d6
41: d2d6
42: f8e8
43: f3c6
44: b7c6
45: c1d1
46: c8f5
47: d6c6
48: e8e7
49: f2f3
50: h8b8
51: h1h2
52: b8h8
53: c6b7
54: e7f6
55: b7a6
56: f6g5
57: a6a4
58: h5h4
59: b4b5
60: h8h5
61: e3e4
62: f5c8
63: h2h1
64: f7f5
65: a4b3
66: f5e4
67: c5e4
68: g5h6
69: e1f1
70: c8e6
71: b3e6
72: h6h7
73: g2g3
74: h4g3
75: h1h5
76: g6h5
77: f1g1
78: h7h8
79: e6f7
80: g3g2
81: d1e1
82: a8b8
83: e1d1
84: b8b5
85: f7h5
86: g7h6
87: h5h6
88: h8g8
89: h6g5
90: g8f7
91: d1d7
92: f7e6
93: g5g4
