Result: Draw by threefold repetition

1: f3e5
2: f6e4
3: c4d5
4: e4c3
5: b2c3
6: e6d5
7: e2e4
8: d8h4
9: f1e2
10: b8d7
11: d1a4
12: f7f6
13: a4c6
14: f6e5
15: c6a8
16: e8d8
17: e2a6
18: h4e4
19: c1e3
20: d8e7
21: a6b5
22: c8b7
23: a8b7
24: e5d4
25: c3d4
26: e4g2
27: h1f1
28: e7d8
29: a2a3
30: g2h2
31: e3g5
32: d8e8
33: b7a8
34: e8f7
35: a8d5
36: f7g6
37: b5d3
38: g6h5
39: d3e2
40: h5g6
41: e2d3
42: g6h5
43: d3e2
44: h5g6
