Result: White wins by checkmate

1: e2e3
2: h7h6
3: g5f6
4: e7f6
5: a1c1
6: b8c6
7: g1f3
8: e8g8
9: f1d3
10: d5c4
11: d3c4
12: e6e5
13: d4d5
14: c6e7
15: f3d2
16: b7b5
17: c4b5
18: e7d5
19: c3d5
20: d8d5
21: b5c6
22: d5a2
23: c6a8
24: a2b2
25: a8e4
26: b2c1
27: d1c1
28: f6d8
29: c1c2
30: c8e6
31: f2f3
32: d8h4
33: g2g3
34: h4d8
35: c2b1
36: g7g5
37: h2h4
38: g5h4
39: g3h4
40: d8h4
41: h1h4
42: g8g7
43: h4h2
44: f7f5
45: b1c2
46: f5e4
47: c2e4
48: f8f5
49: h2g2
50: g7f6
51: e4b7
52: f5f3
53: b7f3
54: f6e7
55: g2g7
56: e7d6
57: f3f8
58: d6c6
59: f8e8
60: c6d6
61: e8d8
62: d6c6
63: g7c7
64: c6b5
65: d8b8
66: b5a6
67: e3e4
68: e6c8
69: d2b3
70: h6h5
71: c7c6
