Result: White wins by checkmate

1: e2e4
2: b7b5
3: e4e5
4: f6d5
5: a2a4
6: e7e6
7: c1d2
8: c8a6
9: a4b5
10: d5c3
11: b2c3
12: c6b5
13: d1b1
14: d8d7
15: f3g5
16: f7f5
17: a1a6
18: b8a6
19: g5e6
20: e8e7
21: e6g5
22: h7h6
23: g5f3
24: e7f7
25: f3h4
26: g7g6
27: g2g4
28: f8e7
29: g4f5
30: g6f5
31: h4g2
32: a6c7
33: g2e3
34: d7c6
35: b1f5
36: f7e8
37: d4d5
38: c7d5
39: f5h5
40: e8d7
41: f1g2
42: d5e3
43: g2c6
44: d7c6
45: d2e3
46: c6d5
47: h1g1
48: e7f8
49: e5e6
50: d5e6
51: h5g4
52: e6e5
53: e3d4
54: e5d6
55: g4f4
56: d6d7
57: d4h8
58: a7a5
59: f4f7
60: d7d6
61: g1g6
62: d6c5
63: f7f5
