Result: Black wins by checkmate

1: d2d3
2: e4c5
3: d3d4
4: c5e4
5: b1d2
6: d6d5
7: d2e4
8: d5e4
9: c1g5
10: f7f6
11: g5e3
12: e4f3
13: d1f3
14: f8b4
15: c2c3
16: b4e7
17: f1c4
18: h7h5
19: e1g1
20: e8f8
21: f3e4
22: b8c6
23: c4d5
24: d8d7
25: e3f4
26: f6f5
27: e4f3
28: g7g5
29: f4e5
30: h8h6
31: b2b4
32: a7a5
33: a2a3
34: a8a6
35: a1b1
36: g5g4
37: f3e3
38: c6e5
39: e3e5
40: a6g6
41: f1e1
42: e7d6
43: e5e2
44: h5h4
45: d5c4
46: d7e7
47: e2b2
48: e7g5
49: b4a5
50: g4g3
51: h2g3
52: h4g3
53: c4d5
54: h6h4
55: d5b7
56: c8b7
57: b2b7
58: g5h5
59: b7a8
60: f8g7
61: f2g3
62: h4h1
63: g1f2
64: d6g3
65: f2e3
66: h1e1
67: b1e1
68: g6e6
69: e3d3
70: e6e1
71: a8f3
72: e1d1
73: f3d1
74: h5d1
75: d3e3
76: d1a4
77: e3d3
78: g3h4
79: g2g3
80: a4d1
81: d3c4
82: g7h6
83: g3h4
84: f5f4
85: a3a4
86: d1a4
87: c4c5
88: h6g6
89: h4h5
90: g6h7
91: a5a6
92: f4f3
93: a6a7
94: a4a7
95: c5d5
96: f3f2
97: d5e4
98: a7a8
99: d4d5
100: a8e8
101: e4d4
102: e8e7
103: d5d6
104: e7d8
105: d4e3
106: f2f1q
107: d6d7
108: d8g5
109: e3d4
110: g5f6
111: d4e4
112: f1d1
113: h5h6
114: f6f3
115: e4e5
116: d1d6
