Result: Black wins by checkmate

1: d2d4
2: e5d4
3: c3d4
4: c5b4
5: b1d2
6: b4d2
7: c1d2
8: f6e4
9: f3e5
10: c6e5
11: d4e5
12: d7d5
13: e5d6
14: d8d6
15: c4e2
16: e4d2
17: d1d2
18: d6d2
19: e1d2
20: c8e6
21: h1c1
22: e8c8
23: d2c3
24: d8d6
25: c1d1
26: d6c6
27: c3d2
28: e6d5
29: e2g4
30: d5e6
31: g4e6
32: c6e6
33: d2d3
34: h8f8
35: d1e1
36: e6h6
37: h2h3
38: h6d6
39: d3e3
40: f8e8
41: e3f4
42: d6d4
43: f4f3
44: e8e1
45: a1e1
46: c8d8
47: f3e3
48: c7c5
49: e1c1
50: b7b6
51: c1e1
52: d8d7
53: g2g4
54: a7a5
55: a2a3
56: d7d6
57: f2f4
58: f7f6
59: f4f5
60: d6d7
61: b2b3
62: b6b5
63: e1c1
64: d7d6
65: c1e1
66: d6c6
67: b3b4
68: a5b4
69: a3b4
70: d4b4
71: e1e2
72: b4d4
73: e2e1
74: d4d8
75: e1a1
76: c6b6
77: a1a6
78: b6a6
79: h3h4
80: a6b6
81: h4h5
82: c5c4
83: h5h6
84: g7h6
85: e3e4
86: b6c5
87: e4e3
88: d8d6
89: e3e2
90: c5b4
91: e2e3
92: d6d8
93: e3e4
94: c4c3
95: e4e3
96: d8e8
97: e3d3
98: b4b3
99: d3d4
100: c3c2
101: d4c5
102: c2c1q
103: c5d6
104: c1d1
105: d6c7
106: d1d8
107: c7c6
108: d8a8
109: c6b5
110: a8b7
111: b5c5
112: e8e5
113: c5d6
114: b7e7
115: d6c6
116: e5c5
117: c6b6
118: e7d6
119: b6b7
120: d6c6
121: b7a7
122: c5c4
123: a7b8
124: c4b4
125: b8a7
126: c6d7
127: a7a6
128: h6h5
129: g4g5
130: d7b5
131: a6a7
132: b5b7
