Result: Black wins by checkmate

1: d2d3
2: d7d6
3: c2c3
4: g7g6
5: e1g1
6: b7b5
7: a4c2
8: f8g7
9: h2h3
10: e8g8
11: b2b4
12: a6a5
13: c1d2
14: a5b4
15: c3b4
16: d6d5
17: f1e1
18: c8e6
19: a2a3
20: c6d4
21: f3g5
22: f6h5
23: a3a4
24: h5f4
25: d2f4
26: e5f4
27: g5e6
28: f7e6
29: a4b5
30: a8a1
31: e4d5
32: e6d5
33: f2f3
34: g8h8
35: g1h2
36: d8f6
37: e1e2
38: d4e2
39: d1e2
40: a1a8
41: c2b3
42: a8d8
43: b3d5
44: d8d5
45: e2f1
46: d5b5
47: d3d4
48: b5b4
49: b1c3
50: b4d4
51: h3h4
52: f6h4
53: h2g1
54: g6g5
55: c3e2
56: d4d2
57: e2f4
58: g7d4
59: f1f2
60: d2d1
