Result: White wins by checkmate

1: d2d3
2: f8c5
3: e1g1
4: c5d6
5: b1d2
6: e8g8
7: d2c4
8: b7b5
9: c4d6
10: c7d6
11: a4b3
12: f8e8
13: f3h4
14: c6d4
15: f2f4
16: d4b3
17: a2b3
18: d8c7
19: c2c4
20: b5c4
21: b3c4
22: a6a5
23: d1e1
24: c7b6
25: c1e3
26: b6b2
27: a1b1
28: b2a3
29: e1e2
30: c8a6
31: b1a1
32: a3c3
33: e3d2
34: c3b2
35: a1b1
36: b2a2
37: b1a1
38: a2b3
39: a1b1
40: b3a4
41: b1a1
42: a4c6
43: h4f5
44: g8h8
45: e2f3
46: a5a4
47: a1b1
48: a6c4
49: f1c1
50: e8b8
51: b1a1
52: b8b3
53: c1c4
54: c6b5
55: h2h3
56: b3b1
57: a1b1
58: b5b1
59: c4c1
60: b1b8
61: c1a1
62: a4a3
63: d2c1
64: b8b4
65: f3f2
66: e5f4
67: c1f4
68: b4b3
69: f2d4
70: a3a2
71: f4h6
72: b3b5
73: h6g7
74: h8g8
75: d4f6
76: b5f5
77: e4f5
78: a8c8
79: g7h6
80: c8c2
81: f6g7
